golden_id,customer_tweet_id,customer_text,golden_intent,confidence,case_type,escalation_expected,annotation_notes,brand_response,review_order,golden_selected,annotation_status,text_length,has_question_mark,has_number,signal_network,signal_data,signal_recharge,signal_sim_device,signal_vas_charge,signal_bonus_promo,signal_account_general,signal_low_information,signal_possible_escalation,signal_short_message,topic_signal_count,review_priority,review_example
G013,1371022,Lol prople dey para oo. Hahhahahahaaha. Oya @GloCare kindly stop any VAS service and callertunes oo. They have abused me for being too patient with u. I asked a question and yet to get an answer. How can i get my number across without dropping it on timeline? https://t.co/z5KKf4KEq9,unauthorized_charge_or_vas,high,escalation_relevant,yes,Explicit request to stop VAS/callertunes and avoid sharing the number publicly.,@280908 Good afternoon. May we have your cellphone number to run a check on your line? FA,13.0,yes,,,,,,,,,,,,,,,,,
G014,2358305,@GloCare I can't browse check your network,data_issue,high,ambiguous,yes,Customer cannot browse; 'check your network' adds ambiguity but the immediate service failure is data/browsing.,"@126251 Hello, may we know your location?",14.0,yes,,,,,,,,,,,,,,,,,
G015,296363,@GloCare Why am I charged for airtime not used?,recharge_or_airtime_issue,medium,ambiguous,yes,Customer disputes unexplained airtime usage; exact cause cannot be determined without account history.,"@186582 Afternoon Ogwu, once the credit is borrowed the system will charge you appropriately.  TT",15.0,yes,,,,,,,,,,,,,,,,,
G016,2380426,@GloCare old how can a customer check his data account? Thanks,data_plan_issue,high,routine,no,Customer asks how to check the data account/balance.,@686365 Its *127*0# or INFO to 127 to check. ^GM,16.0,yes,,,,,,,,,,,,,,,,,
G017,974051,@GloCare 07057789957....pls check why the money I recharged for auto renew was deducted without any apparent msg on d deduction,unauthorized_charge_or_vas,medium,escalation_relevant,yes,Customer reports money disappearing after recharge/auto-renewal and requests a check.,"@153135 Good morning, please confirm the amount recharged, method of recharge and date for clarification. Thank you. SO",17.0,yes,,,,,,,,,,,,,,,,,
G018,120114,@GloCare u give sending me sms dat my network signal issues has being resolved I said u deducted money 08055451220 work on this pls,unauthorized_charge_or_vas,high,escalation_relevant,yes,Customer reports a deduction and historical resolution points to VAS deactivation.,@139868 Hello Kazeem. Kindly dial STOP to  35182 to deactivate the subscribed VAS. You may also send STOP to 2442 for full VAS DND.  TT,18.0,yes,,,,,,,,,,,,,,,,,
G019,2330303,"@GloCare 08119242743,no network  bars atall,and went it comes up,i can't mk calls not even browse  wit it, Ajah, Lagos, Moba town etiosa lga",network_issue,high,routine,yes,"Clear no-network complaint affecting calls and browsing, with location.","@674684 Hello, we apologize. We are aware of the issue and the network engineers are working to resolve it. Kindly bear with us. DA",19.0,yes,,,,,,,,,,,,,,,,,
G020,16086,@GloCare it has become obvious dat my units are taken illegally. I recharged 300 last week never called for even a minute but yesterday...,unauthorized_charge_or_vas,high,escalation_relevant,yes,Customer believes airtime units were taken illegally and needs account investigation.,"@119528 Afternoon Daytonye, kindly provide your mobile number for checks and assistance.  TT",20.0,yes,,,,,,,,,,,,,,,,,
G021,793275,"@GloCare, i can't browse with Glo, but same setting, is what am browsing on Mtn, we love ur network more than other, kindly do something pls",data_issue,high,routine,no,Cannot browse on Glo while another network works; clear mobile-data service problem.,"@307683 Please confirm the apn, username and password. Also revert with your number and exact location. SO",21.0,yes,,,,,,,,,,,,,,,,,
G022,745771,"@GloCare I have made complaints severally on how glo deducts my airtym,yet nothing was done abt. I will never patronize ur useless network again",unauthorized_charge_or_vas,medium,escalation_relevant,yes,Repeated complaint about airtime deductions with no resolution.,"@298299 Good morning, we apologize about it. The issue has been forwarded to our resolution team for assistance. Thank you. SO",22.0,yes,,,,,,,,,,,,,,,,,
G023,1258137,@GloCare network been switching off &amp; on. It has been completely off for a while now &amp; I can't even call customercare pls help 07053337908,network_issue,high,routine,no,Network repeatedly switches off/on and customer cannot reach customer care.,"@414813 Kindly select 3G only network; not Auto, on your device setting for better connection. TT",23.0,yes,,,,,,,,,,,,,,,,,
G024,2764089,"Dear customer, your subscription of CHOLESTROL's gpa cannot be renewed due to insufficient balance. @117627 @GloCare CANCEL. I did not subscribe to it. #Fraud.",unauthorized_charge_or_vas,high,routine,no,Explicitly rejects an unrequested paid VAS subscription.,"@201381 @117627 Morning Edu, kindly send STOP to the VAS code or provide your mobile number for assistance to deactivate the VAS.  TT",24.0,yes,,,,,,,,,,,,,,,,,
G025,2651022,"@GloCare Hello. It's an office line, it's for calls only. I told you it does not support browsing. Kindly tell me i you can refund the airtime or not. This is taking too long",recharge_or_airtime_issue,high,escalation_relevant,yes,Customer seeks an airtime refund and historical response directs further assistance.,"@747750 Apologies, kindly send a mail to __email__ for further assistance. DA",25.0,yes,,,,,,,,,,,,,,,,,
G026,2330300,"@GloCare 08119242743,no network  bars atall, and wen it come back, i can't mk use it, and I just renewed my data,Ajah Lagos, Moba town, etiosa lga.yesterday till now, techno j8 boom",network_issue,high,ambiguous,yes,No network is the primary issue; inability to use newly renewed data is a consequence/secondary symptom.,"@674684 Hello, we apologize. We are aware of the issue and the network engineers are working to resolve it. Kindly bear with us. DA",26.0,yes,,,,,,,,,,,,,,,,,
G027,496767,@GloCare earlier this week i used the 2442 DND code given to me by one of ur agents nw am getting msgs 4 a service i didnt subscribe 4 with my airtime deducted 4 said service Again!!!,unauthorized_charge_or_vas,high,escalation_relevant,yes,Unsolicited service and airtime deduction despite DND are explicit VAS complaints.,@227394 We apologize. May we have your number for assistance? SO,27.0,yes,,,,,,,,,,,,,,,,,
G028,2817931,"@GloCare Please check again, Firstly 400 naira was deducted, I loaded 100 naira, no deduction, 500 naira was loaded, and the last 100 naira was deducted, why deducting from the 1000 naira, and why is 20 naira still remaining",unauthorized_charge_or_vas,high,ambiguous,yes,Multiple deductions are explained historically as VAS plus outstanding loan; customer disputes deductions.,"@785493 Hello Julius, N20 was debited from the amount (N100) recharged for value added service. Hence, the remaining amount was not sufficient to clear the outstanding loan. SO",28.0,yes,,,,,,,,,,,,,,,,,
G029,2159663,"@GloCare The number is 08050630693, HTC M8, Igbeti in olorunsogo LG OYO state, 3G network failure and also kindly note that we experience incessant network outage due power failure ( some times 4 days in a week) since Dec 2016, several complaint but still same .",network_issue,high,escalation_relevant,yes,Long-running 3G/network outage with repeated complaints and explicit escalation history.,@634317 The issue has been escalated to the unit in charge and It will be resolved soon. AP,29.0,yes,,,,,,,,,,,,,,,,,
G030,2724779,"@GloCare @117627 Stop emphasizing with mee. I've provided you with the number - +234 807 683 5245 - not fewer than 3times. Afterwards, you still resubscribed mee to the unsolicited services and deducted my money. @104856 @117626 @7475 @104937 @120330 @127588 @562660",unauthorized_charge_or_vas,high,escalation_relevant,yes,Unsolicited services were re-subscribed and money deducted; explicit VAS issue.,@264735 @117627 The VAS on the line has been deactivated. Sens STOP to 2442 for full VAS DND.  TT,30.0,yes,,,,,,,,,,,,,,,,,
G031,2651024,"@GloCare Would he/they refund the airtime?  I have used the live chat portal, still on Twitter, now Mail. If @GloCare  cannot provide the needed​ assistance, i think you should just tell me. I'm new on the network. I wouldn't want​ to waste my time and effort chasing after the wind.",recharge_or_airtime_issue,medium,escalation_relevant,yes,Customer is seeking a refund for an airtime/data-related transaction after repeated support attempts.,"@747750 Apologies, the data cannot be refunded. Thank you. DA",31.0,yes,,,,,,,,,,,,,,,,,
G032,788938,@GloCare  okk. I've sent in my complaint,non_actionable_or_context_required,high,low_information,yes,Only says a complaint was sent; the underlying support goal is absent.,@308138 May we have your number? CA,32.0,yes,,,,,,,,,,,,,,,,,
G033,209546,@GloCare Yet to receive my N100. Pls refund!,non_actionable_or_context_required,medium,ambiguous,yes,Requests a refund of N100 but gives insufficient context to determine the underlying transaction/intent.,"@165602 Hello Folashade, we apologize for the delay experienced. Work is in progress. Please bear with us. Thank you. SO",33.0,yes,,,,,,,,,,,,,,,,,
G034,496751,@117627 @GloCare Please confirm if 08118280516 is 4G simcard,sim_or_device_issue,high,routine,no,Directly asks whether a particular SIM is 4G-capable.,@233526 @117627 4G is active on the sim. SO,34.0,yes,,,,,,,,,,,,,,,,,
G035,1931789,@GloCare how does one transfer credit from one phone to another?,recharge_or_airtime_issue,high,routine,no,Asks how to transfer/share airtime credit between phones.,"@372400 Hello Omoniyi, dial *131*Number*Amount* PIN# to share credit. To change PIN dial *132*00000*New PIN*New PIN# Default PIN is 00000. TT",35.0,yes,,,,,,,,,,,,,,,,,
G036,1964647,Please and please epp my solution @GloCare  this your network is crawling 😭😭,network_issue,high,routine,yes,Explicitly says the network is crawling; customer-specific diagnostics are needed.,"@582442 Morning.We apologize.Kindly provide your number, device type, exact location and error response for a quick check . Thank you. AP",36.0,yes,,,,,,,,,,,,,,,,,
G037,1138796,@GloCare please is glo me2u not functioning again? I want to transfer credit,recharge_or_airtime_issue,high,routine,no,Glo Me2U credit-transfer functionality is the stated support goal.,"@388245 it is, may we know the error it gives when you try to transfer credit? OO",37.0,yes,,,,,,,,,,,,,,,,,
G038,2765226,@GloCare Though 2G can't be reached.... I can be reached on my 3G phone on 08053355365,network_issue,medium,ambiguous,yes,Message is incomplete/context-dependent but clearly discusses network reachability by generation.,@773395 The issue reported has been escalated for resolution. Kindly be patient.  TT,38.0,yes,,,,,,,,,,,,,,,,,
G039,1122587,@GloCare I have restarted my phone a million times. It's not a restart problem. It's a network problem. It's back now though,network_issue,high,routine,no,"Explicit network problem, although it had already recovered when the message was sent.",@384758 okay,39.0,yes,,,,,,,,,,,,,,,,,
G040,2345094,"@GloCare I have done all these your device tyre ,off and on,restart your device and change to 3G only all these these did not work...even one your guys told me the fault is from your end .common its talking long for christsake",network_issue,high,escalation_relevant,yes,Customer reports persistent network failure after device troubleshooting and says the fault is on the provider side.,"@678143 Hello Irohvincent , kindly provide the details below for resolution. Thank you. DA",40.0,yes,,,,,,,,,,,,,,,,,
G041,209818,"@GloCare We are having difficulties using your network for the past two days now. We can't check balance, we are having call drops and the worst is",network_issue,high,escalation_relevant,yes,Broad network failure with call drops and inability to check balance; engineers are already involved.,@165647 We apologize for the inconveniences experienced. Network engineers are presently working to resolve the issue. Kindly be patient. SO,41.0,yes,,,,,,,,,,,,,,,,,
G042,2391726,@GloCare  OK,non_actionable_or_context_required,high,low_information,no,Only an acknowledgement; no actionable customer-support goal.,@688831 Thank you for choosing Glo. #GloEverydayBonanza #TeamUnlimited# GA,42.0,yes,,,,,,,,,,,,,,,,,
G043,2092975,@GloCare No improvement yet pls.,network_issue,high,ambiguous,yes,"Follow-up says there is still no improvement, but the underlying issue is only inferable from the historical context.","@618457 Hello, our engineers are still  working on the issue. Kindly bear with us. Thank you. DA.",50.0,yes,,,,,,,,,,,,,,,,,
G044,2414073,"@GloCare Hello my subscription was stopped days before it was supposed to expire,called your customer care twice stayed on the phone for 22 minutes no response.",data_plan_issue,high,escalation_relevant,yes,Subscription stopped before expected expiry; customer could not get support.,"@693921 Kindly dial *127*0# or send INFO to 127 to check your data balance and validity. You may also dial *777#, select 1 for 3G-4G data Plan, then 4 to Manage Plan, then 4 to Get Data Balance. A plan expires when it reaches the validity date and also when the data volume finishes. GA",1.0,yes,,160.0,False,True,False,True,False,True,True,False,True,True,False,False,4.0,2.0,
G045,474020,@GloCare @227840 Wetin happen. You guys are charging me for iflix after using for less than 60 days. Kilode? Iflix finished my last day subscription I didn't notice until I resubscribed and saw data dropping fast as I use iflix. Please what's the rule? 08051891193.,unauthorized_charge_or_vas,high,ambiguous,yes,Customer reports unexpected iFlix-related data charging and asks about the rule.,"@268899 @227840 Good morning, Damilola. Its access that's free for 2 months,not downloads or streaming on the app. More on that here: https://t.co/K1OxpO956D. ^GM",2.0,yes,,265.0,True,True,False,True,False,True,True,False,True,True,False,False,4.0,2.0,
G046,2782505,"@GloCare Hello guys. I bought a SIM this afternoon, registered it at a GLO Dealer outlet. I was promised that it be activated in 1 hour but I am yet to see activation. Kindly let me know what to do...",sim_or_device_issue,high,escalation_relevant,yes,New SIM was registered but activation did not occur as promised.,@777034 Kindly exercise patience. ET.,3.0,yes,,200.0,False,True,False,False,False,True,False,False,True,True,False,False,2.0,2.0,
G047,2470834,@117627  Data service is just too poor. @GloCare please tell me how are you grandmasters of data. This tweet was sent using @5566 network,data_issue,high,routine,yes,Customer reports very poor data service.,@706719 @117627 We sincerely apologize for the inconveniences. GA,4.0,yes,,136.0,False,True,True,True,False,False,True,False,True,True,False,False,4.0,2.0,
G048,2395492,@145588 @7693 @117627 @GloCare Please to inform you @117627 &amp; @145588 that your data connectivity in Apete by Yidi Road is worst that has imprisoned me and outcast my update on news as the data network needs 2b improve in d area please to allow me enjoy my data,network_issue,high,routine,yes,Customer reports severe data connectivity problem at a specific location.,@117624 @145588 @7693 @117627 We apologize. We are aware of the issue and the network engineers are working to resolve it. Kindly bear with us. EE,5.0,yes,,265.0,False,True,True,True,False,False,False,False,True,True,False,False,3.0,2.0,
G049,2414077,"@GloCare there's no flooding network in some areas of Ado-Ekiti. From Ijigbo Junction up to Oke Ureje is a complete black spot. No network at all both for call and data. Please,  I have a good spot to erect your master if this will resolve the issues. It's very bad. Please assist",network_issue,high,escalation_relevant,yes,Complete network outage affects both calls and data in a defined area.,"@687943 Hello Oluwagbenija, we appreciate the feedback. Kindly send a mail to __email__ GA",6.0,yes,,279.0,False,False,True,True,False,False,False,False,True,True,False,False,3.0,2.0,
G050,317832,"@GloCare Please I'm not talking about data bonus. I'm talking about credit bonus, the one you check with #122*2#
Read my tweet well",bonus_or_promotion_issue,high,ambiguous,yes,Customer clarifies that the missing bonus is credit bonus rather than data bonus.,"@165653 Morning, we apologize. We are unable to access your account presently due to system maintenance. TT",7.0,yes,,131.0,False,True,False,True,True,False,False,True,True,True,False,False,4.0,2.0,
G051,2910699,"@GloCare I borrowed #200 and recharged #400 card, and bought #200 data only for glo to deduct #100 from my account again. My number is 07054544145.",unauthorized_charge_or_vas,high,ambiguous,yes,Customer reports an unexpected deduction after recharge; historical response attributes it to loan repayment.,@805787 100 naira was debited yesterday as repayment for the loan taken. ^GM,8.0,yes,,147.0,False,True,False,True,True,False,True,False,True,False,True,False,4.0,2.0,
G052,584005,"@GloCare my mobile #08159821678...I just recharge 1400 - was goin to load anoda 1100 so I can activate d (5gb) 2500 data plan, pls is there anything u can do to help?",data_plan_issue,high,ambiguous,yes,Customer wants help activating a specific data plan after recharge.,"@257777 Hello Chubby, kindly send CANCEL to 127 to deactivate the data auto renewal service on the line. It will enable you change subscription type.  TT",9.0,yes,,166.0,True,True,False,True,True,False,True,False,True,True,False,False,4.0,2.0,
G053,2409934,"@GloCare please I need u assist me. When ever they are is money on you used to deduct it and I can remember subscribing to any news, advert or any",unauthorized_charge_or_vas,high,escalation_relevant,yes,Customer reports unexplained recurring deductions and does not recall subscribing.,@692907 We apologize for this inconvenience. May we have the affected number for checks. #GloEverydayBonanza #TeamUnlimited# GA,10.0,yes,,146.0,False,False,False,True,False,False,True,False,True,True,False,False,3.0,2.0,
G054,209665,"@GloCare Please check my combo bundle balance for Int'l calls for 1000k subscription bcoz anytime I check through *777#,#122*1# no ans nr 07059646781",data_plan_issue,high,routine,no,Customer wants to check an international-call bundle balance.,"@165622 Afternoon Roberts, please dial  #122*1#  to check the IDD pack balance.  TT",11.0,yes,,149.0,False,True,False,True,False,False,True,False,True,True,False,False,3.0,2.0,
G055,471935,@GloCare @117627 Please why can’t I buy internet data? Been trying this since last night?,data_plan_issue,high,routine,no,Customer cannot purchase an internet data package.,"@227392 @117627 We apologize.We are aware of it,our engineers are currently working on it kindly be patient. ET.""",12.0,yes,,89.0,True,True,False,True,False,False,False,False,True,True,False,False,2.0,2.0,
G056,2636639,@GloCare This is the sub I did (the first one) only to get 1636mb. Please! Whats up.?.?! https://t.co/A50adS4T5F,data_plan_issue,medium,ambiguous,yes,Customer reports receiving less data than expected after a subscription.,@744205 Kindly confirm when your previous plan expired. CA,13.0,yes,,112.0,True,True,False,True,False,False,False,False,True,True,False,False,2.0,2.0,
G057,1503862,"@GloCare @469054 My data is paused and is on a weekend plan, I want to switch back to my normal data plan . How please?",data_plan_issue,high,routine,no,Customer wants to switch from a weekend data plan to a normal data plan.,"@469053 @469054 Hello,
Kindly call 444 or 08070140444 for assistance on your data.
Thank you

PE",14.0,yes,,119.0,True,True,False,True,False,False,False,False,True,True,False,False,2.0,2.0,
G058,2391743,@GloCare @117627 please what is going on ? I'm trying to renew my data bundle and It's not working.  As usual your customer care line never works!!!! Always held up🙄 please can you do something?,data_plan_issue,high,escalation_relevant,yes,Customer cannot renew a data bundle and reports repeated customer-care difficulty.,"@681851 @117627 We apologize, Kindly try it again later .EE",15.0,yes,,193.0,True,True,False,True,False,False,False,False,True,True,False,False,2.0,2.0,
G059,2218206,"@GloCare pls Dear customer, a warm welcome of N200200 Free Airtime is yours. Since o, my normal bonus if I recharge, I nor dey c am again o.. Pls help",bonus_or_promotion_issue,medium,ambiguous,yes,Customer reports that their normal recharge bonus is no longer appearing.,"@208125 Kindly be explicit,so we may assist. CA",16.0,yes,,150.0,False,True,False,False,True,False,True,True,True,True,False,False,4.0,2.0,
G060,834381,"@GloCare please I made a recharge of #1500,yesterday only to see #95 as my balance",recharge_or_airtime_issue,high,escalation_relevant,yes,Customer recharged but reports a much lower remaining balance than expected.,"@318689 Good morning, may we have your number for clarification. Thank you. SO",17.0,yes,,82.0,False,True,False,False,True,False,True,False,True,True,False,False,3.0,2.0,
G061,493063,@GloCare @232556 @117627 Good Evening. Please help to scan my line and remove what do deduct my credit. Thank,unauthorized_charge_or_vas,high,escalation_relevant,yes,Customer asks for unexplained deductions from airtime to be identified and removed.,@232555 @117627 Kindly send in your number. Thank you. CA,18.0,yes,,109.0,False,True,False,False,True,False,True,False,True,True,False,False,3.0,2.0,
G062,1000324,"@GloCare Hello,
I just cleared my BMC account of #200 but few mins later I was notified again to still be owing.
Pls can you run a check",recharge_or_airtime_issue,high,escalation_relevant,yes,Customer paid a BMC debt but was still notified that the debt remained.,"@356824 Kindly send in your number ,for a check. CA",19.0,yes,,136.0,False,True,False,False,False,False,False,False,True,True,True,False,1.0,2.0,
G063,1884940,@GloCare unable to make calls or send message again. Error response: call drop.Please its becoming annoying complaining everyday.08079053766,voice_or_line_issue,high,escalation_relevant,yes,Customer cannot make calls or send messages and reports call-drop errors.,"@562409 Dear Femi, we sincerely apologize for the inconvenience. Kindly switch off and on your device after five minutes then try again. PE",20.0,yes,,140.0,False,True,False,False,False,False,False,False,True,True,True,False,1.0,2.0,
G064,445933,"@glocare! Good morning! Want to migrate to call unit of 20/s, what the code pls. Th,ks",voice_or_line_issue,high,routine,no,Customer asks how to migrate to a different calling tariff.,"@220607 Morning Titilope, Gbam Extra has a tariff of 12k/sec to Glo and 15k/sec to other network. Access charge of N5 applies on days calls are made.  TT",21.0,yes,,86.0,False,True,False,False,False,False,False,False,True,True,False,False,1.0,1.0,
G065,2651040,"@GloCare That was the response. Do I have to keep recharging, or what? I don't get it please.",bonus_or_promotion_issue,medium,ambiguous,yes,Customer asks about recharge requirements for unlocking additional bonus.,@747753 Recharge more to unlock some more. Dial #122*23# to view unlocked bonus. ^GM,22.0,yes,,93.0,True,False,False,False,False,False,False,False,True,True,False,False,1.0,1.0,
G066,1433270,"@GloCare I call 124, still is the same thing. my call can not be completed please contact customer care.",voice_or_line_issue,high,escalation_relevant,yes,Customer's calls cannot be completed despite trying customer care.,"@452788 Hello Ibrahim, we apologize. Issue has been escalated to the unit in charge for assistance. SO",23.0,yes,,104.0,False,True,False,False,False,False,False,False,True,True,False,False,1.0,1.0,
G067,469805,@GloCare please Globacom how will i activate my deactivated line ? If i load a Card will it activated ?????,sim_or_device_issue,high,routine,no,Customer asks how to reactivate a deactivated line/SIM.,"@226870 for deactivated sim, please visit the nearest Gloworld with N100, sim certificate and valid identity card. Thank you",24.0,yes,,107.0,True,False,False,False,False,False,False,False,True,True,False,False,1.0,1.0,
G068,2146010,Dear @GloCare why am I still getting messages from 8888 after I've fully activated DND? Kilode Gan sef😠,unauthorized_charge_or_vas,high,routine,no,Customer reports receiving unwanted service messages despite activating DND.,@523891 Good morning. Kindly text STOP to 8888 or provide your number for necessary assistance. Thank you. FA,27.0,yes,,103.0,True,True,False,False,False,False,False,False,True,False,False,False,1.0,0.0,
G069,1553142,@GloCare I wish to why I was deactivated from using the *200# package. I never knew when I stopped from using it,account_or_general_support,high,escalation_relevant,yes,Customer reports unexpected deactivation from a package and requests an account check.,@480541 Kindly provide your phone number for checks Thank you for your patience. UO.,28.0,yes,,112.0,False,True,False,False,False,False,False,False,True,False,False,False,1.0,0.0,
G070,2933831,@GloCare thankz. But dey didn't give me any bonus as i bought new jumbo sim yesterday with #1100 Recharge card.,bonus_or_promotion_issue,high,routine,no,Customer reports missing bonus after purchasing a new Jumbo SIM and recharging.,@811250 Please dial #122*23# to view your unlocked JUMBO bonus. ^GM,29.0,yes,,111.0,False,True,False,True,True,True,True,True,False,True,False,False,5.0,2.0,
G071,2330344,"@GloCare Hello glo, your I bought your sim, but it charges me me too high almost 30 per minute, airtel charge me less than 8naira per minute, what should I do to get good rate? I can’t deal with this high charge.",voice_or_line_issue,high,routine,no,Customer complains about high per-minute calling charges and wants a better tariff.,@676658 Kindly dial #100# to know your present package. Then click on for details of our plans to make a choice from https://t.co/bVzBGOevhb . GA,31.0,yes,,212.0,True,True,False,False,False,True,True,False,False,True,False,False,2.0,2.0,
G072,1043403,"@GloCare, ""Connection problem or invalid mmi code"" is what I see as I tried recharging 08072006674. Is *123*pin# no longer working? Thanks",recharge_or_airtime_issue,high,routine,no,Customer receives an invalid MMI error while attempting a recharge.,"@366734 Good morning, we apologize for the inconveniences experienced. Please call 123 and follow info to recharge. SO",32.0,yes,,138.0,True,True,False,False,False,True,False,False,False,True,False,False,1.0,1.0,
G073,1862879,"@GloCare Cell no- 07051883771; Location- Surulere, Lagos; Device name- BlackBerry: Device model- Q10; APN- gloflat; username &amp; password-flat",data_issue,medium,escalation_relevant,yes,Customer provides troubleshooting details for a data-service problem.,"@556657 Gabriel, We sincerely apologize for the inconveniences. Your line is fine. Kindly exercise patience, the issue is being resolved. FA",33.0,yes,,144.0,False,True,False,False,False,True,False,False,False,True,False,False,1.0,1.0,
G074,348309,"@GloCare  I dnt understnd y, after a prper sim reg. I cant retrieve my sim at #Gloword because of 🆔 card despite providing a civil servnt 🆔.",sim_or_device_issue,high,routine,no,Customer has difficulty retrieving/replacing a SIM because of identification requirements.,"@161790 Good evening, sim replacement requirements are: sim card hold (or sworn affidavit),valid I.d card, N100 and frequently 5 dialed numbers. SO",34.0,yes,,139.0,False,False,False,False,False,True,False,False,False,False,False,False,1.0,0.0,
G075,395956,"@GloCare 
Hello, can we plz have some reprieve to network quality in Graceland, Zaria, Kaduna State? 
It's embarrassingly slow n unstable.",network_issue,high,routine,yes,Customer reports slow and unstable network quality in a specific location.,"@209744 We apologize for the inconveniences,we are aware of the issue and it's being worked on. EE",35.0,yes,,136.0,True,False,True,True,False,False,False,False,False,True,False,False,2.0,2.0,
