failure_mode,golden_id,customer_text,golden_intent,predicted_intent,confidence,golden_escalation_expected,actual_decision,draft_reply
escalation_false_positive,G024,"Dear customer, your subscription of CHOLESTROL's gpa cannot be renewed due to insufficient balance. @117627 @GloCare CANCEL. I did not subscribe to it. #Fraud.",unauthorized_charge_or_vas,data_plan_issue,0.1357638501563084,no,human,"Morning, kindly send STOP to 2442 to deactivate the CHOLESTROL GPA VAS. This will stop further charges. If you did not subscribe, we recommend confirming with your service provider."
escalation_false_positive,G034,@117627 @GloCare Please confirm if 08118280516 is 4G simcard,sim_or_device_issue,non_actionable_or_context_required,0.1447321013135295,no,human,4G is active on the sim card.
escalation_false_positive,G035,@GloCare how does one transfer credit from one phone to another?,recharge_or_airtime_issue,recharge_or_airtime_issue,0.1506863310591135,no,human,"To transfer credit from one GLO phone to another, dial *131*recipient's phone number*amount*password#. For example: *131*08155570458*75*12345#. Your default password is 00000."
generic_reply_signal,G002,@glocare pls I migrated to Glo jumbo and recharged. I've been given bonus but couldn't use it to call. help,bonus_or_promotion_issue,bonus_or_promotion_issue,0.1219762610160369,yes,human,Kindly provide your number so we can assist you with your bonus usage. Thank you!
generic_reply_signal,G007,"@GloCare please you guys should help me check my line as I was awarded 500mb after I recharged but I'm been deducted from my Normal data subscription which really isn't suppose to be so, this is the number 08058976647",bonus_or_promotion_issue,unauthorized_charge_or_vas,0.1382148149571091,yes,human,kindly provide your number for a quick check to assist with your data subscription concern.
generic_reply_signal,G008,"@GloCare I hav a lot of data&amp;call bonus,but's still charged frm my main balance Wen calln/browsn. &amp; #124#, #124*1# no longa work 08113877114",bonus_or_promotion_issue,unauthorized_charge_or_vas,0.117509800190683,yes,human,"Evening, you have exhausted your data bonus. The voice bonus is only valid for Glo to Glo calls. For assistance with your bonus or service, please provide your number so we can assist you further."
generic_reply_signal,G009,@232561 @117627 @GloCare UPDATE!!! They've Deducted N10 From The 980 Again.. N1k Airtime Just This Morning Now Down To N970.. https://t.co/LWukklgbxv,unauthorized_charge_or_vas,non_actionable_or_context_required,0.1347002090734924,yes,human,We apologize about the deduction. Kindly provide your number so we can assist you further.
generic_reply_signal,G021,"@GloCare, i can't browse with Glo, but same setting, is what am browsing on Mtn, we love ur network more than other, kindly do something pls",data_issue,network_issue,0.1370174447761143,no,human,"Please confirm your APN, username, and password. Also, kindly share your number and exact location so we can assist you better."
generic_reply_signal,G023,@GloCare network been switching off &amp; on. It has been completely off for a while now &amp; I can't even call customercare pls help 07053337908,network_issue,network_issue,0.1398190547880513,no,human,"Kindly select 3G only on your device settings for better connection. Also, to assist further, please share your number, device type, and exact location with a landmark."
generic_reply_signal,G027,@GloCare earlier this week i used the 2442 DND code given to me by one of ur agents nw am getting msgs 4 a service i didnt subscribe 4 with my airtime deducted 4 said service Again!!!,unauthorized_charge_or_vas,unauthorized_charge_or_vas,0.1381729180962187,yes,human,We apologize for the inconvenience. May we have your number so we can investigate and assist you further?
generic_reply_signal,G028,"@GloCare Please check again, Firstly 400 naira was deducted, I loaded 100 naira, no deduction, 500 naira was loaded, and the last 100 naira was deducted, why deducting from the 1000 naira, and why is 20 naira still remaining",unauthorized_charge_or_vas,unauthorized_charge_or_vas,0.1362724073021661,yes,human,"Hello Julius, we understand your concern. A deduction of N20 was made from the N100 recharge for a value-added service (VAS). The remaining balance was insufficient to clear the outstanding loan. To resolve this, please provide your phone number so we can verify and assist further."
generic_reply_signal,G036,Please and please epp my solution @GloCare  this your network is crawling 😭😭,network_issue,network_issue,0.1483433375232754,yes,human,"We're experiencing network issues and would like assistance. Could you please provide your number, device type, and exact location so we can investigate? Thank you."
generic_reply_signal,G039,@GloCare I have restarted my phone a million times. It's not a restart problem. It's a network problem. It's back now though,network_issue,recharge_or_airtime_issue,0.130369014931002,no,human,"May we have your cellphone number, device name, and model so we can assist you further with your network connectivity issue?"
unsupported_claim_signal,G029,"@GloCare The number is 08050630693, HTC M8, Igbeti in olorunsogo LG OYO state, 3G network failure and also kindly note that we experience incessant network outage due power failure ( some times 4 days in a week) since Dec 2016, several complaint but still same .",network_issue,network_issue,0.1739850043234409,yes,human,"The issue has been escalated to the relevant team for resolution. We recommend checking with your local power provider, as power outages may affect network stability. For further assistance, please provide your full address and device details."
unsupported_claim_signal,G038,@GloCare Though 2G can't be reached.... I can be reached on my 3G phone on 08053355365,network_issue,network_issue,0.117460761164711,yes,human,The issue has been escalated for resolution. Kindly provide your exact location and device type for faster assistance.
unsupported_claim_signal,G111,@GloCare I'm having issues recharging my glo line. I need help pls,recharge_or_airtime_issue,data_plan_issue,0.127885406440299,yes,human,Good evening. We apologize for the inconvenience. The issue is being resolved. Please bear with us. FA
unsupported_claim_signal,G151,"@GloCare Again where is my N20?? Recharged 3k, you auto renewed a plan I didn't want and my balance mysteriously went down from N2001 to N1981",unauthorized_charge_or_vas,account_or_general_support,0.1129030743245417,yes,human,"Your auto renewal was cancelled on the 15th, but a plan was renewed on the 14th. Please confirm if this renewal was intended."
unsupported_claim_signal,G153,@GloCare I don't appreciate being ignored and I'm losing my patience. what kind of stupid customer service is this?,non_actionable_or_context_required,sim_or_device_issue,0.1297456573764031,yes,human,The issue has been escalated. Please check our latest tweet for updates. Thank you for your patience. UO
