customer_tweet_id,customer_text,review_bucket,brand_responses,response_count
20406,"@GloCare  I can't understand y I can not see my account balance, i recharge 200 naira &amp; my account is empty. How?",account_general_candidate,"@120456 Morning, kindly provide your number for a quick check. AP",1
21365,@GloCare Is it that ur engineers are not doing anything or u guys have not reported to em? It’s been 2weeks now that u can’t use the internet,account_general_candidate,"@120676 Kindly exercise patience.The complaint has been escalated, it will be resolved soon.Thank you",1
21374,@GloCare Deduction of 150 from my account for caller tunes which I never subscribed to,account_general_candidate|data_plan_candidate|voice_line_candidate,@120678 We apologize. May we have your number for assistance? SO || @120678 We apologize. May we have your number for assistance? SO || @120678 We apologize. May we have your number for assistance? SO,3
2491,@GloCare  a feast for glo collecting tat funds as if I don't know wat to do wit money please delete all unnecessary things I didnt subscribe,data_plan_candidate,@116298 Good evening Solomon. May we have your cellphone number to run a check on your line? FA,1
15649,"@GloCare Am so tired glo. Any tim I dial Dat code it's same reply, u don't have access to ds service bt m on jumbo, too annoying d 50mb dnt tk 4mins",data_plan_candidate|voice_line_candidate,@119442 Perhaps you can restart your phone and redial. We still see your bonus from here. ^GM || @119442 Perhaps you can restart your phone and redial. We still see your bonus from here. ^GM,2
15651,@GloCare Hv don n done dat it not work.  Again tel me why d 50mb data do not last pho 4mins?  Den u start taking my money from main act why,data_plan_candidate,"@119442 Evening, kindly provide your number for a quick check. AP",1
15654,@GloCare What about dis ur bonus check with *122*23# and *122*24# I cnt see nothing anytime I use dis codes to check dis ur 200200 jumbo wotever,data_plan_candidate,@119442 We apologize for any inconvenience you may have experienced. Kindly provide your number. Thank you. UO.,1
15658,@GloCare pls I dnt hv this freedata bt hv used Up to 100mb plus #300 worth of call card. Now u are even charging me 1 naira per mb why,data_plan_candidate|voice_line_candidate,@119442 We apologize for any inconvenience you may have experienced. Kindly provide your number. Thank you. UO. || @119442 We apologize for any inconvenience you may have experienced. Kindly provide your number. Thank you. UO.,2
16080,@GloCare  this was on the 2nd of this November,data_plan_candidate,@119528 The VAS on the line has been deactivated. A refund is being processed. Kindly be patient.  TT,1
20370,May I know how to stop auto renewal of data on Glo network @117627 @GloCare Thanks,data_plan_candidate,"@120452 @117627 Hello Oyekanmi, text cancel to 127 to deactivate auto renewal. Thank you. SO",1
20378,You will always wait for someone to subscribe large volume of data before being unfortunate @117627 @GloCare,data_plan_candidate,"@120454 @117627 Good morning, may we know the exact issue experienced for assistance? SO",1
9096,@117628 @GloCare @117625 @117626 @117627 @48760 @53205 @7476 Thereafter I loaded #200 again with total balance stood at #1150. On early hour on Monday 29/10/2017 i inserted d sim to load #200.,sim_device_candidate,@117624 @117628 @117625 @117626 @117627 @48760 @53205 @7476 Thank you for the info. We'll check and revert back to you. SO,1
21356,@GloCare iPhone 7plus,sim_device_candidate,@120676 Thank you for your patience. Please confirm the service status. Thank you. UO.,1
21363,"@GloCare 09053038780 iphone7 plus jibrin estate, olokonla bstop. The network is not just browsing",sim_device_candidate,@120676 We apologize for any inconvenience you may have experienced.The complaint has been escalated. Thank you. UO.,1
28322,@GloCare @117627 I'm still waiting to get a feedback from u guys. This is not a joke to me. U hav to refund the money you took from my sim,sim_device_candidate,@120888 @117627 We apologize for the delay. Work still in progress. Please bear with us. SO,1
33122,"@GloCare please where can I locate glo office near University of Ibadan environs.
Need to retrieve my lost sim card ASAP. Thanks",account_general_candidate|sim_device_candidate,"@123325 Hello Ijeoma, Conoil Filling Station, Sango/Eleyele Road, Beside Polytechnic south campus gate, Ibadan. SO",1
33121,"@GloCare Thanks!
Was able to locate it, but could not retrieve my line as they said they don't have replacement sim for a while now.",sim_device_candidate|voice_line_candidate,@123325 We apologize for any inconvenience you may have experienced. Please do check again.  Thank you. UO.,1
46215,"@GloCare Pls, I've 4g phone with glo sim. Do I have to swap my sim for 4g sim to be able to access 4g LTE  for browsing? Thanks.",data_plan_candidate|sim_device_candidate,@126254 Please note that to enjoy the 4G service your device needs to be a  band 28 4G device. UO,1
46765,@GloCare That's not the issue....had 3gig Thurs n irs finished on Friday. Just two days! Funny thing is I was @2688  n didn't use my phone,sim_device_candidate,@126396 @2688 Kindly provide your number for checks. DA,1
49720,"@GloCare This is the SIM serial no. 892__credit_card__F, PUK is 21140051 and my alternative number is 08187728101.",account_general_candidate|data_plan_candidate|sim_device_candidate,@127128 We apologize for any inconvenience you may have experienced.The complaint has been escalated. Thank you. UO.,1
49723,"its enough to 10 SIM pack, but why this stress. My number is 07054443008.
Abeg i dey beg you...@GloCare",account_general_candidate|data_plan_candidate|sim_device_candidate,"@127128 We apologize. Please provide the new sim serial number, PUK no and alternate number. UO",1
49725,@GloCare Your network keeps fluctuating on my phone. Sometimes the network totally disappears.,sim_device_candidate,"@127129 We apologize for any inconvenience. Kindly provide your phone number, exact location, device type 
and error response so we can progress UO.",1
49734,@GloCare Thanks a lot. It have been resolved and my sim given 3.2GB.,data_plan_candidate|sim_device_candidate,@127130 Thank you for the feedback. Stay Unlimited. UO.,1
56584,"@117627 @GloCare @128805 Yes, I think I have a problem similar to this. I got no bonus",sim_device_candidate,"@128806 Hello Okoro, kindly provide your mobile number for checks.  TT",1
65457,"@GloCare Dear Team, I just restarted the phone now and was able to browse, thanks for your response, we will monitor performance and keep you posted. Thanks",sim_device_candidate,@130986 You are welcome. Stay Unlimited!!! AA,1
65465,"@GloCare 08055618598, no internet connection, Cameroun Street, by Mushin Magistrate Court, behind Zone D Police HQ, MUSHIN LGA, Device type is Nokia 6",sim_device_candidate,"@130986 Morning Segun, we apologize for the experience. Network engineers are working to resolve the issue. Kindly be patient. TT",1
9116,@117625 @117626 @117627 @GloCare I believed GLO is not bigger than regulator. Very unfortunate loaded #500 again after insertion frm welcome back I met #424.09k no call/mesg,voice_line_candidate,@117624 @117625 @117626 @117627 Kindly provide your mobile number for checks and assistance.  TT,1
15646,"@GloCare I just dial d code again, it says I dnt have access to this service. What is this now glory ahh show me did bonus now wht is with ur nework",voice_line_candidate,"@119442 Morning Smart, the line is on Jumbo and the bonus has been credited. Please dial the code #122*23# to check again.  TT",1
16077,"@GloCare I'm yet to receive my refunds, this is 48hrs nw and recharging my line is bcoming an issue as my credit doesn't last on my line.",voice_line_candidate,"@119528 Good morning Datonye. We apologize, kindly exercise patience. We are still looking into it. Thank you. FA",1
16086,@GloCare it has become obvious dat my units are taken illegally. I recharged 300 last week never called for even a minute but yesterday...,voice_line_candidate,"@119528 Afternoon Daytonye, kindly provide your mobile number for checks and assistance.  TT",1
20362,@GloCare i tried to recharge my glo line but the pin refused to enter nows its showing your line has been blocked.,voice_line_candidate,"@120450 Hello Coco, may we have the card serial number and your mobile number? Please revert via DM. Thank you. SO",1
20375,@GloCare hi ur network here is terrible. One cannot access d net nor call. Pls can somthn b done ASAP?,voice_line_candidate,"@120453 We apologize for any inconvenience. Kindly provide your phone number, exact location, device type and error response so we can progress EE.",1
20384,"@117627 @GloCare Despite receiving the attached message, I still can't access the internet with my glo line https://t.co/A5BNV5nGt7",voice_line_candidate,@120454 @117627 We are sorry about that. Our resolution team is still addressing the network issue in your location. ^GM,1
22385,"@GloCare @117627 I recharged N1500 on my line yesterday, this morning I'm seeing N1430. What did I do to you guys? What?",voice_line_candidate,"@120888 @117627 Good morning, we apologize. May we have your number for clarification? SO",1
28324,"@GloCare #1000  was deducted f on my account balance  yesterday 

I dial *127*53#",account_general_candidate|voice_line_candidate,@122203 Please confirm the date you subscribed? SO,1
28335,"@GloCare called me to participate in their ongoing promo. Bt i declined,i prefer a gud service nt promo. #promo not 4 all, service is 4 all",voice_line_candidate,"@122205 Hello Vicky, we appreciate the feedback. Network upgrade done routinely. SO",1
28340,"@GloCare 892__credit_card__F.      Outlets visited are: 1) Gloworld @ Aba road, waterlines, Port Harcourt. 2)Wuse2 Abuja",account_general_candidate|voice_line_candidate,@122206 We have just tried to reach and the line is active now. Please confirm. UO,1
