golden_id,customer_text,draft_reply,human_correctness,human_groundedness,human_helpfulness,human_safety,human_conciseness,human_overall_score,human_reason,reviewer_type,human_review_completed
G042,@GloCare  OK,Okay. Thank you.,5,5,4,5,5,5,A suitable concise acknowledgement for a simple confirmation message.,human_oriented_independent_evaluator,false
G045,@GloCare @227840 Wetin happen. You guys are charging me for iflix after using for less than 60 days. Kilode? Iflix finished my last day subscription I didn't notice until I resubscribed and saw data dropping fast as I use iflix. Please what's the rule? 08051891193.,"Good morning, Damilola. The Iflix service is free for the first 60 days of your data plan, but streaming uses your data bundle. You can access Iflix during this period, but data will be deducted as you use it. More details here: ^GM",5,4,5,3,3,4,"Directly addresses the complaint, but includes a somewhat categorical claim and an unnecessary historical-style artifact.",human_oriented_independent_evaluator,false
G054,"@GloCare Please check my combo bundle balance for Int'l calls for 1000k subscription bcoz anytime I check through *777#,#122*1# no ans nr 07059646781","To check your combo bundle balance for international calls, please dial *122*1# instead of *777#. If you're still unable to access it, kindly confirm when you subscribed to the 1000k combo plan.",4,4,4,5,4,4,"Provides a concrete balance-check action and relevant follow-up, though the exact procedure should be supported by evidence.",human_oriented_independent_evaluator,false
G062,"@GloCare Hello,
I just cleared my BMC account of #200 but few mins later I was notified again to still be owing.
Pls can you run a check",Kindly send in your number for a check.,4,3,4,5,5,4,Reasonably asks for information needed for an account-specific case without claiming an account check was already performed.,human_oriented_independent_evaluator,false
G065,"@GloCare That was the response. Do I have to keep recharging, or what? I don't get it please.",Recharge more to unlock additional benefits. Dial #122*23# to view your unlocked bonus. ^GM,2,2,2,4,4,2,Offers a recharge instruction without enough context and may not address the customer's exact concern.,human_oriented_independent_evaluator,false
G066,"@GloCare I call 124, still is the same thing. my call can not be completed please contact customer care.","Hello Ibrahim, we apologize you're still experiencing this issue. It has been escalated to the appropriate team for assistance.",1,1,1,1,4,1,Explicitly claims an escalation action that the system cannot perform or verify.,human_oriented_independent_evaluator,false
G067,@GloCare please Globacom how will i activate my deactivated line ? If i load a Card will it activated ?????,"For a deactivated line, please visit the nearest Gloworld with N100, your sim certificate, and a valid identity card. Thank you.",5,4,5,5,4,5,"Gives a concrete, relevant recovery procedure and directly addresses the service-deactivation problem.",human_oriented_independent_evaluator,false
G069,@GloCare I wish to why I was deactivated from using the *200# package. I never knew when I stopped from using it,Kindly provide your phone number so we can investigate your *200# package deactivation. Thank you.,3,3,4,4,4,3,"Requests relevant information but also says the system will investigate the package deactivation, which is an unsupported capability claim.",human_oriented_independent_evaluator,false
G077,"@GloCare @191307 Is there any 4g site around Egbeda, new Ife road Ibadan?","Yes, there is 4G coverage along Egbeda-Atuba Road, Ibadan, Oyo State.",1,1,1,1,4,1,Claims current 4G coverage at a location without live network-status evidence.,human_oriented_independent_evaluator,false
G086,@GloCare good morning.. Why is my GLO network poor??? Since on Friday up till now showing me emergency call only. Pls. 08052515535,"We apologize for the inconvenience. Kindly provide your phone number, exact location, and device type so we can assist you further.",5,4,5,5,5,5,"Requests phone number, location and device information that are all relevant to diagnosing the network/emergency-call problem.",human_oriented_independent_evaluator,false
G090,@GloCare I have recharge but can't access my bonuses. Why?,Kindly dial #122*35# to check your bonus access. Thank you.,4,4,4,5,5,4,Gives a focused action relevant to checking the bonus issue and stays concise.,human_oriented_independent_evaluator,false
G091,"@GloCare i did not apply for any #service. Dear User, your billing for Glo Gamestore has failed due insufficient balance. Please recharge",Kindly provide your phone number so we can assist you further. ET.,3,3,3,5,4,3,"Requests relevant account information, but the reply is generic and contains a historical signature artifact.",human_oriented_independent_evaluator,false
G093,"@GloCare haba, my glo 4g lte wanna kill me this month since i subscribed. It doesnt go again, im tired pls help 😩😭😭😭","We empathize with your frustration. To assist you better, could you please share your phone number, device type, and exact location? This will help us investigate the issue. 😊",5,4,5,4,4,5,"Empathetic and focused on useful diagnostic information, although the investigation wording overstates capability.",human_oriented_independent_evaluator,false
G096,@GloCare Please can i know the meaning of DND list,DND stands for Do Not Disturb. It means you won't receive unsolicited calls or messages. Let me know if you'd like help with deactivating or managing it.,5,4,5,5,5,5,"Clear, concise explanation with a useful offer of further help and no unsupported account claim.",human_oriented_independent_evaluator,false
G097,@GloCare hi would like to deactivate my glo camp-boost plan,"Hello, I'd like to deactivate my Glo Camp-Boost plan. Could you please confirm if I need to take any specific steps or send a message to a designated email?",1,1,1,5,3,1,Does not answer the customer's request and instead appears to restate it from the wrong perspective.,human_oriented_independent_evaluator,false
G108,"@GloCare Your call cannot be completed at the moment, please try again later","Your call cannot be completed at the moment, please try again later. To assist you better, could you please share the number you're trying to call and your line number?",4,4,4,5,4,4,"Acknowledges the call problem and requests useful identifiers, though it is somewhat repetitive.",human_oriented_independent_evaluator,false
G111,@GloCare I'm having issues recharging my glo line. I need help pls,Good evening. We apologize for the inconvenience. The issue is being resolved. Please bear with us. FA,2,2,2,2,4,2,"Claims the issue is being resolved and includes an agent signature, both problematic for a current customer-facing response.",human_oriented_independent_evaluator,false
G112,@GloCare I currently do not have sufficient credit to make the call,"We apologize. To assist you better, kindly provide your number, device type, and exact location. This will help us investigate the issue promptly. Thank you.",3,3,3,4,4,3,"Requests potentially useful diagnostic details, but includes unsupported investigation language and does not directly resolve the immediate concern.",human_oriented_independent_evaluator,false
G113,"Hello @gloCare 
I don't receive SMS on my line. Please kindly correct","Try restarting your phone without the SIM, then reinsert the SIM and send a test message to your line. If the issue continues, please reply with your line number so we can assist further.",4,4,5,5,4,4,Provides a concrete troubleshooting step and a relevant fallback request; useful overall.,human_oriented_independent_evaluator,false
G116,@GloCare .THIS is sad cause am thinking of changing my line. not fair . What's happening wit ur network .,"We empathize, and we’re aware of the concerns regarding network performance. To better assist you, could you please share the exact issue you're experiencing and your location? SG",2,2,3,2,3,2,Acknowledges the network issue but makes unsupported current-state claims and contains an agent signature.,human_oriented_independent_evaluator,false
G118,"@GloCare 3days old sim wit N400, plus bonus and jumbo. Only about 10mins call. No SMS, no internet. Calculate it","Hello Oses, kindly provide your mobile number so we can assist you with your sim and bonus usage.",3,3,3,5,5,3,"Asks for the number, but does not sufficiently address the customer's stated SMS/data failure.",human_oriented_independent_evaluator,false
G123,@GloCare help me check my line 08058011999 i ave megabyte but i pay for internet from the main acct,"Ensure you have the correct APN settings: APN - Gloflat, Username - Flat, Password - Flat. Thank you. UO.",5,4,5,4,4,5,"Provides a concrete APN procedure that is directly useful, though the historical signature artifact should not appear.",human_oriented_independent_evaluator,false
G127,@GloCare glo 09054590520. The last time I sub.  The message I received is that my data expires 2018. Why are yiu deducting my money na.,"Hello Sandra, we apologize for the confusion. Your data was exhausted today, and the charge was applied accordingly. For clarity, may we have your number so we can assist further?",1,1,1,1,3,1,Makes unsupported claims about the cause/timing of data exhaustion and account state.,human_oriented_independent_evaluator,false
G130,"@GloCare No browsing network for us here, and our data subscription is always like a waste.. 
U can carry out a survey on this.. Form itoki to ifo","Morning, may we know your phone number, exact location with landmarks, and the specific error or issue you're experiencing? This will help us assist you better.",4,3,4,5,4,4,"Requests relevant location and problem details, but is somewhat generic and lacks an immediate troubleshooting step.",human_oriented_independent_evaluator,false
G136,"@GloCare I'm talking of combo for international calling for 1000k subscription check d bal for me *777#,#122*1# isn't showing it nr is 07059646781",Could you please confirm when you subscribed to the 1000k combo plan? This will help us assist you better.,4,4,4,5,5,4,Asks a relevant timing question that can help distinguish the subscription/balance issue.,human_oriented_independent_evaluator,false
G138,@GloCare why am I being asked for a court affidavit to retrieve my registered line?,"When a SIM pack is unavailable, a court affidavit confirming ownership and loss of the SIM is required. This is a regulatory requirement. Please let us know if you need assistance with this process.",4,3,4,3,4,4,"Provides a direct explanation, but the regulatory requirement is stated too categorically without sufficient current evidence.",human_oriented_independent_evaluator,false
G139,@GloCare My number is 08118875122,The VAS on your line has been deactivated. You may send STOP to 2442 for full VAS DND.,1,1,1,1,4,1,"Claims the VAS was deactivated on the customer's line, implying live account access.",human_oriented_independent_evaluator,false
G142,"@GloCare The network is so irritating, I think it’s high time to swap the network","Hello, to better assist you, could you please share your mobile number and a description of the specific network issue you're experiencing?",5,4,5,5,5,5,Concise and relevant request for the number and specific network issue without claiming an internal action.,human_oriented_independent_evaluator,false
G151,"@GloCare Again where is my N20?? Recharged 3k, you auto renewed a plan I didn't want and my balance mysteriously went down from N2001 to N1981","Your auto renewal was cancelled on the 15th, but a plan was renewed on the 14th. Please confirm if this renewal was intended.",1,1,1,1,3,1,Claims specific renewal and cancellation status that cannot be known from the available customer message.,human_oriented_independent_evaluator,false
G154,@GloCare I am sincerely disappointed in glo customer service. Would I have lied on that? Even your colleague earlier confirmed it. Check chat history,"We apologize for the frustration this has caused. To better assist you, could you please share the specific issue you're experiencing? This will help us provide a more accurate and timely response. Thank you.",5,4,5,5,5,5,Acknowledges frustration and asks for the specific issue without unsupported operational claims.,human_oriented_independent_evaluator,false
