golden_id,customer_text,golden_intent,predicted_intent,confidence,golden_escalation_expected,actual_decision,draft_reply,intent_error,escalation_false_positive,unsupported_claim_signal,generic_reply_signal,historical_contamination_signal
G018,@GloCare u give sending me sms dat my network signal issues has being resolved I said u deducted money 08055451220 work on this pls,unauthorized_charge_or_vas,network_issue,0.1285310090181262,yes,human,"Hello Kazeem. To resolve this, kindly dial STOP to 35182 to deactivate the subscribed VAS. You may also send STOP to 2442 for full VAS DND.",True,False,False,False,False
G019,"@GloCare 08119242743,no network  bars atall,and went it comes up,i can't mk calls not even browse  wit it, Ajah, Lagos, Moba town etiosa lga",network_issue,network_issue,0.1367987981555761,yes,human,"Hello, we apologize for the inconvenience. Our network engineers are currently addressing the issue in your area. Kindly bear with us. DA",False,False,False,False,False
G020,@GloCare it has become obvious dat my units are taken illegally. I recharged 300 last week never called for even a minute but yesterday...,unauthorized_charge_or_vas,network_issue,0.1246190798350032,yes,human,"Afternoon Daytonye, kindly provide your mobile number so we can assist you with your concern.",True,False,False,True,False
G021,"@GloCare, i can't browse with Glo, but same setting, is what am browsing on Mtn, we love ur network more than other, kindly do something pls",data_issue,network_issue,0.1370174447761143,no,human,"Please confirm your APN, username, and password. Also, kindly share your number and exact location so we can assist you better.",True,True,False,True,False
G022,"@GloCare I have made complaints severally on how glo deducts my airtym,yet nothing was done abt. I will never patronize ur useless network again",unauthorized_charge_or_vas,network_issue,0.123548185520418,yes,human,We apologize for the frustration this has caused. Your concern regarding airtime deductions has been forwarded to our resolution team for immediate attention. Thank you for bringing this to our notice.,True,False,False,False,False
G023,@GloCare network been switching off &amp; on. It has been completely off for a while now &amp; I can't even call customercare pls help 07053337908,network_issue,network_issue,0.1398190547880513,no,human,"Kindly select 3G only on your device settings for better connection. Also, to assist further, please share your number, device type, and exact location with a landmark.",False,True,False,True,False
G024,"Dear customer, your subscription of CHOLESTROL's gpa cannot be renewed due to insufficient balance. @117627 @GloCare CANCEL. I did not subscribe to it. #Fraud.",unauthorized_charge_or_vas,data_plan_issue,0.1357638501563084,no,human,"Morning, kindly send STOP to 2442 to deactivate the CHOLESTROL GPA VAS. This will stop further charges. If you did not subscribe, we recommend confirming with your service provider.",True,True,False,False,False
G025,"@GloCare Hello. It's an office line, it's for calls only. I told you it does not support browsing. Kindly tell me i you can refund the airtime or not. This is taking too long",recharge_or_airtime_issue,unauthorized_charge_or_vas,0.1199467001142257,yes,human,"Apologies, airtime for office lines cannot be refunded. Please send a mail to __email__ for further assistance. DA",True,False,False,False,False
G026,"@GloCare 08119242743,no network  bars atall, and wen it come back, i can't mk use it, and I just renewed my data,Ajah Lagos, Moba town, etiosa lga.yesterday till now, techno j8 boom",network_issue,data_issue,0.1304703136293469,yes,human,"Hello, we apologize. We are aware of the issue and the network engineers are working to resolve it. Kindly bear with us. DA",True,False,True,False,False
G027,@GloCare earlier this week i used the 2442 DND code given to me by one of ur agents nw am getting msgs 4 a service i didnt subscribe 4 with my airtime deducted 4 said service Again!!!,unauthorized_charge_or_vas,unauthorized_charge_or_vas,0.1381729180962187,yes,human,We apologize for the inconvenience. May we have your number so we can investigate and assist you further?,False,False,False,True,False
G028,"@GloCare Please check again, Firstly 400 naira was deducted, I loaded 100 naira, no deduction, 500 naira was loaded, and the last 100 naira was deducted, why deducting from the 1000 naira, and why is 20 naira still remaining",unauthorized_charge_or_vas,unauthorized_charge_or_vas,0.1362724073021661,yes,human,"Hello Julius, we understand your concern. A deduction of N20 was made from the N100 recharge for a value-added service (VAS). The remaining balance was insufficient to clear the outstanding loan. To resolve this, please provide your phone number so we can verify and assist further.",False,False,False,True,False
G029,"@GloCare The number is 08050630693, HTC M8, Igbeti in olorunsogo LG OYO state, 3G network failure and also kindly note that we experience incessant network outage due power failure ( some times 4 days in a week) since Dec 2016, several complaint but still same .",network_issue,network_issue,0.1739850043234409,yes,human,"The issue has been escalated to the relevant team for resolution. We recommend checking with your local power provider, as power outages may affect network stability. For further assistance, please provide your full address and device details.",False,False,False,True,False
G030,"@GloCare @117627 Stop emphasizing with mee. I've provided you with the number - +234 807 683 5245 - not fewer than 3times. Afterwards, you still resubscribed mee to the unsolicited services and deducted my money. @104856 @117626 @7475 @104937 @120330 @127588 @562660",unauthorized_charge_or_vas,non_actionable_or_context_required,0.1226267319713694,yes,human,"The VAS on your line has been deactivated. For full VAS DND, please contact us directly. We acknowledge your concern and will investigate further.",True,False,False,False,False
G031,"@GloCare Would he/they refund the airtime?  I have used the live chat portal, still on Twitter, now Mail. If @GloCare  cannot provide the needed​ assistance, i think you should just tell me. I'm new on the network. I wouldn't want​ to waste my time and effort chasing after the wind.",recharge_or_airtime_issue,data_plan_issue,0.1334937847660733,yes,human,"Airtime refunds are not currently available. We apologize for the inconvenience. If you have a specific plan or transaction in mind, please share details so we can assist further.",True,False,False,False,False
G032,@GloCare  okk. I've sent in my complaint,non_actionable_or_context_required,non_actionable_or_context_required,0.1234477867225839,yes,human,May we have your number and the nature of your complaint?,False,False,False,False,False
G033,@GloCare Yet to receive my N100. Pls refund!,non_actionable_or_context_required,data_plan_issue,0.1198412469164664,yes,human,We apologize for the delay in receiving your N100. Our team is currently working on this issue. Please bear with us. Thank you.,True,False,False,False,False
G034,@117627 @GloCare Please confirm if 08118280516 is 4G simcard,sim_or_device_issue,non_actionable_or_context_required,0.1447321013135295,no,human,4G is active on the sim card.,True,True,True,False,False
G035,@GloCare how does one transfer credit from one phone to another?,recharge_or_airtime_issue,recharge_or_airtime_issue,0.1506863310591135,no,human,"To transfer credit from one GLO phone to another, dial *131*recipient's phone number*amount*password#. For example: *131*08155570458*75*12345#. Your default password is 00000.",False,True,False,False,False
G036,Please and please epp my solution @GloCare  this your network is crawling 😭😭,network_issue,network_issue,0.1483433375232754,yes,human,"We're experiencing network issues and would like assistance. Could you please provide your number, device type, and exact location so we can investigate? Thank you.",False,False,False,True,False
G037,@GloCare please is glo me2u not functioning again? I want to transfer credit,recharge_or_airtime_issue,account_or_general_support,0.1201011792212887,no,human,Could you please share the error message you receive when trying to transfer credit? This will help us assist you better. 🙏,True,True,False,True,False
G038,@GloCare Though 2G can't be reached.... I can be reached on my 3G phone on 08053355365,network_issue,network_issue,0.117460761164711,yes,human,The issue has been escalated for resolution. Kindly provide your exact location and device type for faster assistance.,False,False,False,True,False
G039,@GloCare I have restarted my phone a million times. It's not a restart problem. It's a network problem. It's back now though,network_issue,recharge_or_airtime_issue,0.130369014931002,no,human,"May we have your cellphone number, device name, and model so we can assist you further with your network connectivity issue?",True,True,False,True,False
G040,"@GloCare I have done all these your device tyre ,off and on,restart your device and change to 3G only all these these did not work...even one your guys told me the fault is from your end .common its talking long for christsake",network_issue,data_plan_issue,0.129202563308913,yes,human,"Hello Irohvincent, to better assist you, could you please share your phone number, the exact error message (if any), your location with landmarks, and the type of device you're using? This will help us investigate further. Thank you.",True,False,False,True,False
G041,"@GloCare We are having difficulties using your network for the past two days now. We can't check balance, we are having call drops and the worst is",network_issue,network_issue,0.1374802621215828,yes,human,"We apologize for the inconveniences experienced. Network engineers are currently investigating the issue. To better assist you, could you please provide your phone number and your location?",False,False,False,True,False
G042,@GloCare  OK,non_actionable_or_context_required,sim_or_device_issue,0.1392650844677627,no,human,Okay. Thank you.,True,True,False,False,False
G043,@GloCare No improvement yet pls.,network_issue,data_plan_issue,0.1397180067562817,yes,human,"Our engineers are still working on the issue. To better assist you, could you please share your number, device type, exact location with landmark, and any error messages you've seen? Thank you.",True,False,True,True,False
G044,"@GloCare Hello my subscription was stopped days before it was supposed to expire,called your customer care twice stayed on the phone for 22 minutes no response.",data_plan_issue,data_plan_issue,0.1277691550787932,yes,human,"Kindly dial *127*0# or send INFO to 127 to check your data balance and validity. Your plan may expire based on validity date or data volume usage. For assistance, please provide your number so we can assist you further.",False,False,False,True,False
G045,@GloCare @227840 Wetin happen. You guys are charging me for iflix after using for less than 60 days. Kilode? Iflix finished my last day subscription I didn't notice until I resubscribed and saw data dropping fast as I use iflix. Please what's the rule? 08051891193.,unauthorized_charge_or_vas,data_plan_issue,0.1354472580345802,yes,human,"Good morning, Damilola. The Iflix service is free for the first 60 days of your data plan, but streaming uses your data bundle. You can access Iflix during this period, but data will be deducted as you use it. More details here: ^GM",True,False,False,False,False
G046,"@GloCare Hello guys. I bought a SIM this afternoon, registered it at a GLO Dealer outlet. I was promised that it be activated in 1 hour but I am yet to see activation. Kindly let me know what to do...",sim_or_device_issue,sim_or_device_issue,0.1192148209300473,yes,human,Kindly provide your number and the serial number of the SIM for us to check on the activation status. Thank you.,False,False,False,True,False
G047,@117627  Data service is just too poor. @GloCare please tell me how are you grandmasters of data. This tweet was sent using @5566 network,data_issue,data_plan_issue,0.1423259331656933,yes,human,"We sincerely apologize for the inconvenience. To better assist you, could you please share your phone number, device type, and exact location? This will help us investigate the data service issue for you.",True,False,False,True,False
G048,@145588 @7693 @117627 @GloCare Please to inform you @117627 &amp; @145588 that your data connectivity in Apete by Yidi Road is worst that has imprisoned me and outcast my update on news as the data network needs 2b improve in d area please to allow me enjoy my data,network_issue,data_plan_issue,0.147177435456593,yes,human,We apologize for the poor data connectivity in Apete by Yidi Road. We are aware of the issue and our network engineers are working to resolve it. Kindly bear with us as we work to improve the service. EE,True,False,True,False,False
G049,"@GloCare there's no flooding network in some areas of Ado-Ekiti. From Ijigbo Junction up to Oke Ureje is a complete black spot. No network at all both for call and data. Please,  I have a good spot to erect your master if this will resolve the issues. It's very bad. Please assist",network_issue,network_issue,0.1566677649010285,yes,human,"Hello Oluwagbenija, we appreciate your feedback. To assist further, kindly send an email to __email__ GA with your location and contact details. This will help us assess and address the issue promptly.",False,False,False,False,False
G050,"@GloCare Please I'm not talking about data bonus. I'm talking about credit bonus, the one you check with #122*2#
Read my tweet well",bonus_or_promotion_issue,bonus_or_promotion_issue,0.1393779717723999,yes,human,"Morning, we apologize, but we're currently unable to access your account due to system maintenance. Please check back later.",False,False,False,False,False
G051,"@GloCare I borrowed #200 and recharged #400 card, and bought #200 data only for glo to deduct #100 from my account again. My number is 07054544145.",unauthorized_charge_or_vas,unauthorized_charge_or_vas,0.1258256397221428,yes,human,100 naira was debited yesterday as repayment for the loan taken. ^GM,False,False,False,False,False
G052,"@GloCare my mobile #08159821678...I just recharge 1400 - was goin to load anoda 1100 so I can activate d (5gb) 2500 data plan, pls is there anything u can do to help?",data_plan_issue,data_plan_issue,0.1260718704877571,yes,human,"Hello Chubby, to help you switch to the 5GB 2500 data plan, please send CANCEL to 127 to deactivate the data auto-renewal service on your line. This will allow you to change your subscription.",False,False,False,False,False
G053,"@GloCare please I need u assist me. When ever they are is money on you used to deduct it and I can remember subscribing to any news, advert or any",unauthorized_charge_or_vas,data_plan_issue,0.1249931227986195,yes,human,We apologize for the inconvenience. Could you please provide your mobile number so we can assist you with your data charges? #GloEverydayBonanza #TeamUnlimited,True,False,False,True,False
G054,"@GloCare Please check my combo bundle balance for Int'l calls for 1000k subscription bcoz anytime I check through *777#,#122*1# no ans nr 07059646781",data_plan_issue,non_actionable_or_context_required,0.1284776093049879,no,human,"To check your combo bundle balance for international calls, please dial *122*1# instead of *777#. If you're still unable to access it, kindly confirm when you subscribed to the 1000k combo plan.",True,True,False,False,False
G055,@GloCare @117627 Please why can’t I buy internet data? Been trying this since last night?,data_plan_issue,data_plan_issue,0.1279893253074062,no,human,"We apologize for the inconvenience. Our team is aware of the issue and working on it. To assist you better, could you please share your mobile number and the error message you're receiving?",False,True,False,True,False
G056,@GloCare This is the sub I did (the first one) only to get 1636mb. Please! Whats up.?.?! https://t.co/A50adS4T5F,data_plan_issue,unauthorized_charge_or_vas,0.1458338957080532,yes,human,Kindly confirm when your previous plan expired so we can assist you better.,True,False,False,True,False
G057,"@GloCare @469054 My data is paused and is on a weekend plan, I want to switch back to my normal data plan . How please?",data_plan_issue,data_plan_issue,0.1561124549658583,no,human,"Hello, To assist you with switching back to your normal data plan, could you please share your cellphone number? Thank you.",False,True,False,False,False
G058,@GloCare @117627 please what is going on ? I'm trying to renew my data bundle and It's not working.  As usual your customer care line never works!!!! Always held up🙄 please can you do something?,data_plan_issue,data_plan_issue,0.1280100320008534,yes,human,We apologize for the inconvenience. Our team is aware of the issue with data bundle renewals and is working to resolve it. Kindly check again later or provide your phone number so we can assist you directly.,False,False,False,True,False
G059,"@GloCare pls Dear customer, a warm welcome of N200200 Free Airtime is yours. Since o, my normal bonus if I recharge, I nor dey c am again o.. Pls help",bonus_or_promotion_issue,data_plan_issue,0.1190772959237869,yes,human,Could you please clarify what you're experiencing so we can assist you better?,True,False,False,True,False
G060,"@GloCare please I made a recharge of #1500,yesterday only to see #95 as my balance",recharge_or_airtime_issue,non_actionable_or_context_required,0.1121389821521337,yes,human,"Good morning, may we have your number for clarification on the discrepancy in your balance? Thank you.",True,False,False,False,False
G061,@GloCare @232556 @117627 Good Evening. Please help to scan my line and remove what do deduct my credit. Thank,unauthorized_charge_or_vas,account_or_general_support,0.1552076277207307,yes,human,Kindly send in your number so we can assist you. Thank you.,True,False,False,False,False
G062,"@GloCare Hello,
I just cleared my BMC account of #200 but few mins later I was notified again to still be owing.
Pls can you run a check",recharge_or_airtime_issue,sim_or_device_issue,0.1114285554315512,yes,human,Kindly send in your number for a check.,True,False,False,False,False
G063,@GloCare unable to make calls or send message again. Error response: call drop.Please its becoming annoying complaining everyday.08079053766,voice_or_line_issue,network_issue,0.117829741115681,yes,human,"Dear Femi, we sincerely apologize for the inconvenience. Kindly switch off and on your device after five minutes then try again. We’re also looking into this issue and will keep you updated. PE",True,False,False,False,False
G064,"@glocare! Good morning! Want to migrate to call unit of 20/s, what the code pls. Th,ks",voice_or_line_issue,account_or_general_support,0.1365162603198102,no,human,Could you please confirm which package you'd like to migrate to?,True,True,False,False,False
G065,"@GloCare That was the response. Do I have to keep recharging, or what? I don't get it please.",bonus_or_promotion_issue,sim_or_device_issue,0.119322197495045,yes,human,Recharge more to unlock additional benefits. Dial #122*23# to view your unlocked bonus. ^GM,True,False,False,False,False
G066,"@GloCare I call 124, still is the same thing. my call can not be completed please contact customer care.",voice_or_line_issue,sim_or_device_issue,0.1200744226564785,yes,human,"Hello Ibrahim, we apologize you're still experiencing this issue. It has been escalated to the appropriate team for assistance.",True,False,False,False,False
G067,@GloCare please Globacom how will i activate my deactivated line ? If i load a Card will it activated ?????,sim_or_device_issue,data_plan_issue,0.1337711550068647,no,human,"For a deactivated line, please visit the nearest Gloworld with N100, your sim certificate, and a valid identity card. Thank you.",True,True,False,False,False
G068,Dear @GloCare why am I still getting messages from 8888 after I've fully activated DND? Kilode Gan sef😠,unauthorized_charge_or_vas,non_actionable_or_context_required,0.1186488931834345,no,human,Good morning. Kindly text STOP to 8888 or provide your number for assistance. Thank you. FA,True,True,False,True,False
G069,@GloCare I wish to why I was deactivated from using the *200# package. I never knew when I stopped from using it,account_or_general_support,sim_or_device_issue,0.1220835436762553,yes,human,Kindly provide your phone number so we can investigate your *200# package deactivation. Thank you.,True,False,False,True,False
G070,@GloCare thankz. But dey didn't give me any bonus as i bought new jumbo sim yesterday with #1100 Recharge card.,bonus_or_promotion_issue,sim_or_device_issue,0.1225115252365881,no,human,Please dial #122*23# to view your unlocked JUMBO bonus. 📱,True,True,False,False,False
G071,"@GloCare Hello glo, your I bought your sim, but it charges me me too high almost 30 per minute, airtel charge me less than 8naira per minute, what should I do to get good rate? I can’t deal with this high charge.",voice_or_line_issue,sim_or_device_issue,0.131593376836419,no,human,Kindly dial #100# to check your current package. Then visit to review our plans and select one that suits your needs.,True,True,False,False,False
G072,"@GloCare, ""Connection problem or invalid mmi code"" is what I see as I tried recharging 08072006674. Is *123*pin# no longer working? Thanks",recharge_or_airtime_issue,unauthorized_charge_or_vas,0.1550660353624509,no,human,We apologize for the inconvenience. The *123*pin# code is still valid. Please call 123 and follow the voice instructions to recharge.,True,True,False,False,False
G073,"@GloCare Cell no- 07051883771; Location- Surulere, Lagos; Device name- BlackBerry: Device model- Q10; APN- gloflat; username &amp; password-flat",data_issue,network_issue,0.1270875777566936,yes,human,"Gabriel, we apologize for the inconvenience. Your line is active, but we recommend verifying your data subscription status. If it has expired, please subscribe and we’ll assist further. Thank you.",True,False,False,False,False
G074,"@GloCare  I dnt understnd y, after a prper sim reg. I cant retrieve my sim at #Gloword because of 🆔 card despite providing a civil servnt 🆔.",sim_or_device_issue,sim_or_device_issue,0.160706514761125,no,human,"Good evening, to assist you further, could you please share your phone number so we can check your account and service status?",False,True,False,True,False
G075,"@GloCare 
Hello, can we plz have some reprieve to network quality in Graceland, Zaria, Kaduna State? 
It's embarrassingly slow n unstable.",network_issue,network_issue,0.1443479857859496,yes,human,"We apologize for the inconvenience. We are aware of the network issues in Graceland, Zaria, Kaduna State and it's being addressed. For a more tailored response, could you please share your phone number and device type? EE",False,False,False,True,False
G076,"@GloCare URGENT! I have not had network in my house area (somewhere in Rumuodara,PHC) for months. Which kain wahala be this? Once i get back from work i cant call or use data on my Glo line.",network_issue,network_issue,0.1257857599266431,yes,human,"We apologize for the inconvenience. To assist you quickly, kindly provide your mobile number, device type, exact location with landmarks, and how long you've been experiencing the issue. Thank you.",False,False,False,True,False
G077,"@GloCare @191307 Is there any 4g site around Egbeda, new Ife road Ibadan?",network_issue,non_actionable_or_context_required,0.1241092130891722,no,human,"Yes, there is 4G coverage along Egbeda-Atuba Road, Ibadan, Oyo State.",True,True,True,False,False
G078,"@GloCare @117627 
I load card and subscribed u telling me e never work that all these time am using my money de browse ? i DM u guys ‘ una de do me like hausa girl una no even wan pick my calls 
No be by force to use Glo oo 
God punish all of una 🚶🏿✌🏿
Hi @118424 🤚🏿",data_issue,data_plan_issue,0.1205425597832789,yes,human,Could you please provide your mobile number so we can investigate your subscription and data plan issue? 🙏,True,False,False,True,False
G079,"@GloCare if a friend share his data with me ,does it indirectly means I share mine with him too ?",data_issue,data_plan_issue,0.1410426134577522,no,human,"No, if a friend shares their data with you, it does not mean you're sharing your data with them.",True,True,False,False,False
G080,How can I have 4095mb of glo data as at 13th November and today 22nd I'm left with only 200mb haba @GloCare which kind 419 be this?,data_issue,data_plan_issue,0.1203495791707558,yes,human,We kindly request you monitor your data usage. You may want to check if you have any number(s) sharing data with you.,True,False,False,False,False
G081,"@GloCare that Streaming #YouTube video from 1am-5:30am is it still on ?
Because I always buy data of #2.5k",data_plan_issue,data_plan_issue,0.1200304531007131,no,human,"Yes, YouTube streaming is still available from 1am to 5:30am on your data plan. If you have a data plan of #2,500 or above, you're eligible for free streaming during that time. Let us know if you need help checking your plan details.",False,True,False,False,False
G082,"@GloCare Yeah, but will the extension retain the unused data and take it over to the next month?",data_plan_issue,data_plan_issue,0.1455716839395287,no,human,"Yes, unused data from your plan will carry over to the next month if you extend your plan. Just resubscribe before it expires to keep your data. OO",False,True,False,False,False
G083,"@GloCare just bought 1000 data and instead of 3.2gb I saw 1648mb on 07059556635 Wi-Fi modem, what's happening?",data_plan_issue,data_plan_issue,0.1351291152616068,no,human,"You're receiving 1.6GB initially on your 1000 data plan, with the full 1000 data bonus available after auto-renewal. A 7-day grace period is provided for renewal. For your specific number, please share your mobile number so we can verify your plan details. ET.",False,True,False,True,False
G084,"@GloCare I got a message that I should dial x100x6x1#,hope it wouldn't affect my package of #2500 for 10G data?",data_plan_issue,data_plan_issue,0.1234928955787422,yes,human,"Morning Johnson, could you confirm if you're considering migrating to the Gbam Extra package? This dial-up code is typically part of a package upgrade or change.",False,False,False,False,False
G085,No glo network since 6pm ...@GloCare what's up?,network_issue,network_issue,0.1522029088866147,yes,human,We're experiencing no network since 6pm. Could you please share the error message or advise on next steps? Revert via DM.,False,False,False,False,False
G086,@GloCare good morning.. Why is my GLO network poor??? Since on Friday up till now showing me emergency call only. Pls. 08052515535,network_issue,data_issue,0.1208138381389972,yes,human,"We apologize for the inconvenience. Kindly provide your phone number, exact location, and device type so we can assist you further.",True,False,False,True,False
G087,@GloCare @170399 what sort of network is this? over 7hrs I've been trying to subscribe. network engineers have been working since 6am,data_plan_issue,network_issue,0.1604817867575126,yes,human,"We understand your frustration. Could you please share your exact location, device type, and any error message you've received? This will help us assist you better. ET",True,False,False,True,False
G088,"@GloCare Network status? Worst! I Just replying 2 days later means, everything was shot down till last night, hope this last past 12 noon.",network_issue,network_issue,0.1529026505692921,yes,human,"We apologize for the inconvenience. To better assist you, could you please share your phone number, device type, exact location, and the error message you're seeing? This will help us investigate further.",False,False,False,True,False
G089,"Am I d only one ""enjoying"" ds very poor network from @117627? So terrible. @GloCare @145585",network_issue,network_issue,0.1569694055660141,yes,human,"To better assist you, could you please share your phone number, device type, exact location with a landmark, and the signal strength you're seeing? This will help us investigate the issue promptly.",False,False,False,True,False
G090,@GloCare I have recharge but can't access my bonuses. Why?,bonus_or_promotion_issue,recharge_or_airtime_issue,0.1110197277506898,no,human,Kindly dial #122*35# to check your bonus access. Thank you.,True,True,False,False,False
G091,"@GloCare i did not apply for any #service. Dear User, your billing for Glo Gamestore has failed due insufficient balance. Please recharge",unauthorized_charge_or_vas,recharge_or_airtime_issue,0.1161660981448872,no,human,Kindly provide your phone number so we can assist you further. ET.,True,True,False,True,False
G092,@GloCare That's not what I have problem with please. Fix this deductions thing.,unauthorized_charge_or_vas,unauthorized_charge_or_vas,0.1141880478633443,yes,human,Please provide your mobile number so we can assist you with the deductions issue.,False,False,False,True,False
G093,"@GloCare haba, my glo 4g lte wanna kill me this month since i subscribed. It doesnt go again, im tired pls help 😩😭😭😭",data_issue,sim_or_device_issue,0.1200385433646555,yes,human,"We empathize with your frustration. To assist you better, could you please share your phone number, device type, and exact location? This will help us investigate the issue. 😊",True,False,False,True,False
G094,@GloCare but one things remains. I am a victim of unsolicited deductions. Please deactivate all deductions on 0815699716,unauthorized_charge_or_vas,network_issue,0.1269595509863799,yes,human,"We understand your concern about unsolicited deductions. To assist you, could you please confirm the correct number associated with your account? This helps ensure we address the issue accurately. SG",True,False,False,False,False
G095,@GloCare As a matter of fact I didn't download any song So please deactivate any caller tunes and VAS or song as a matter of urgency .thanks,unauthorized_charge_or_vas,non_actionable_or_context_required,0.12398909654769,no,human,Your Caller Tune service has been deactivated. Stay Unlimited!,True,True,True,False,False
G096,@GloCare Please can i know the meaning of DND list,account_or_general_support,non_actionable_or_context_required,0.1269143486640853,no,human,DND stands for Do Not Disturb. It means you won't receive unsolicited calls or messages. Let me know if you'd like help with deactivating or managing it.,True,True,False,False,False
G097,@GloCare hi would like to deactivate my glo camp-boost plan,data_plan_issue,account_or_general_support,0.1438873003565816,no,human,"Hello, I'd like to deactivate my Glo Camp-Boost plan. Could you please confirm if I need to take any specific steps or send a message to a designated email?",True,True,False,False,False
