case_id,query,query_intent,query_confidence,alignment_count,retrieved_1_intent,retrieved_1_confidence,retrieved_1_distance,retrieved_1_customer_message,retrieved_1_response,retrieved_1_tweet_id,retrieved_1_relevance,retrieved_1_review_reason,retrieved_2_intent,retrieved_2_confidence,retrieved_2_distance,retrieved_2_customer_message,retrieved_2_response,retrieved_2_tweet_id,retrieved_2_relevance,retrieved_2_review_reason,retrieved_3_intent,retrieved_3_confidence,retrieved_3_distance,retrieved_3_customer_message,retrieved_3_response,retrieved_3_tweet_id,retrieved_3_relevance,retrieved_3_review_reason,overall_review
12,"@GloCare 
My airtime keeps ""disappearing"" it has gone on for too long.
I didn't subscribe to any service that isn't my monthly sub.",network_issue,0.1176812040841158,1,network_issue,0.1176812040841158,2.1120228504457886e-13,"@GloCare 
My airtime keeps ""disappearing"" it has gone on for too long.
I didn't subscribe to any service that isn't my monthly sub.",@146329 We apologize for any inconvenience you may have experienced. Kindly provide your number. Thank you. UO.,134521,relevant,Same unexplained airtime disappearance/deduction complaint.,account_or_general_support,0.1393350574195564,0.2604858875274658,@GloCare please I want to know why my airtime keeps disappearing without subscribing to anything. I want a refund,"@377515 We apologize for any inconvenience. Kindly provide your phone number, exact location, device type and error response so we can progress. EE",1091429,relevant,Same unexplained airtime deduction and refund request.,data_plan_issue,0.1207333042536288,0.4158714413642883,@GloCare Glo please attend to my problem. I haven't been able to subscribe for three days now even though I have sufficient airtime.,@283308 We sincerely apologize for the inconvenience. We are currently carrying out an upgrade.We implore you to please bear with us as soon we would be able to assist you. Kindly try again later. GA,684231,partial,"Concerns inability to subscribe despite airtime, but not the reported deduction.",good
13,@GloCare is it possible for Glo to bring back the 8k for 48GB?,recharge_or_airtime_issue,0.1192505959545222,1,recharge_or_airtime_issue,0.1192505959545222,1.7988293688799006e-13,@GloCare is it possible for Glo to bring back the 8k for 48GB?,"@199861 Hello Treezy, that plan is no longer available. View list of available plans at the link: https://t.co/GvxBuIxUZL  TT",352702,relevant,Same historical plan/price availability question.,data_plan_issue,0.1500623896323405,0.7203885912895203,@GloCare That means I won't be given 7gb or how will I do it to get 7gb,@313480 You will get 100% if you subscribe before the current data expire or within 3 days of expiration. Thank you. SO,1077389,partial,"Related to data bundle eligibility, but not whether the ₦8k/48GB offer returned.",non_actionable_or_context_required,0.1316760316295226,0.802946925163269,@GloCare @117627 Can i get the 4gb as recommended for customers who renewed?,"@782308 @117627 Yes, if you auto renew/re-subscribe within 7 days after expiration, you will get 4gb otherwise you will get 1.6gb. SO",2804753,partial,"Related to data renewal/package benefits, but not the specific discontinued offer.",mixed
14,@GloCare managed to reach a customer care rep on the chat on your website and he/she basically ignored me.,data_plan_issue,0.1379964858066531,1,data_plan_issue,0.1379964858066531,3.072890520598032e-13,@GloCare managed to reach a customer care rep on the chat on your website and he/she basically ignored me.,"@369214 Hello Ogenna, we apologize. May we know the exact issue experienced for clarification. Thank you. SO .",1054712,relevant,Customer-service interaction failure; directly addresses being ignored.,non_actionable_or_context_required,0.1390341722804556,0.476498544216156,@GloCare Keep ignoring your customers,@165653 We apologize for any inconvenience you may have experienced. Thank you. UO.,317838,relevant,Same complaint about Glo ignoring customers.,sim_or_device_issue,0.1297456573764031,0.5015856623649597,@GloCare I don't appreciate being ignored and I'm losing my patience. what kind of stupid customer service is this?,@756549 The issue has been escalated. Please check our last tweet on your timeline. Thank you for your patience. UO,2693389,relevant,Same ignored-customer/escalation situation.,good
15,"So I have to go through all this for my money, glo abeg i don humble give me back my money @145585 @117626 @GloCare https://t.co/dNOvnziPCf",non_actionable_or_context_required,0.1146141736960418,1,non_actionable_or_context_required,0.1146141736960418,3.0804737016429384e-13,"So I have to go through all this for my money, glo abeg i don humble give me back my money @145585 @117626 @GloCare https://t.co/dNOvnziPCf","@383053 @145585 @117626 Good morning, may we know the issue for clarification. Thank you. SO",1114676,partial,"Money/refund complaint is relevant broadly, but the specific underlying issue is unclear.",sim_or_device_issue,0.1306366719594181,0.5456739068031311,@GloCare 07057571356 I want my money back.,@756549 We apologize for any inconvenience you may have experienced. The complaint has been escalated and deactivated Kindly dial *2220*22# to cancel facebook via sms and send STOP to 2442. Thank you for your patience. UO,2691190,relevant,Direct money-back complaint with an unauthorized-service context.,data_service_issue,0.1218283762505481,0.5614650249481201,@GloCare @377517 Please return all my money you have collected without me subscribed for It pls,@377516 @377517 May we have your mobile number for assistance.  TT,1091432,relevant,Direct request to return money taken without subscription.,good
16,"@GloCare The H won't come up...the 3G,2G or my 4G network doesn't come up..no error..network just don't come up!I'm using people's WiFi to reach to you now.pls help.",network_issue,0.1344766158850192,2,network_issue,0.1344766158850192,2.809341843358626e-13,"@GloCare The H won't come up...the 3G,2G or my 4G network doesn't come up..no error..network just don't come up!I'm using people's WiFi to reach to you now.pls help.","@258556 we apologize, kindly provide your number, device and exact location with landmarks so we assist ~ OO",1936675,relevant,Exact same network-connectivity failure across 2G/3G/4G.,network_issue,0.1598265785874891,0.5522703528404236,"@GloCare I have called 3G helpline for the 3rd time now, 3G in my area been down for 2days. Pls I can't be going about looking for network","@429558 Sincere apologies, kindly provide your phone number, exact location, device type and error response so we can progress. Thank you. AA",1326723,relevant,Same 3G/network outage problem in a location.,data_plan_issue,0.1255884827702225,0.5947941541671753,"@GloCare Is on 3G (only) network mode, so what do I need to do to make it start working perfectly",@739474 You may want to try it on 2G/3G (auto). CA,2616175,relevant,Network-mode troubleshooting for a 3G connectivity problem.,good
17,how do i subscribe to the new Glo 4gig for 1k plan? @GloCare @117627,data_plan_issue,0.1755160589624994,2,data_plan_issue,0.1755160589624994,1.745292278754196e-13,how do i subscribe to the new Glo 4gig for 1k plan? @GloCare @117627,"@578441 @117627 Kindly dial *777# and Select 1. 4G-3G Data Plan, 1. Buy 3G-4G Data Plan, and make your choice from the list of plans #GloUnfairAdvantage GA",2242923,relevant,"Exact same 4GB-for-₦1,000 subscription request and actionable code.",data_plan_issue,0.1327159482439174,0.2584668099880218,@GloCare please I am unable to subscribe to Glo 1k 4GB plan. Kindly do this for me from your end. 08053285986 urgently,@283315 We sincerely apologize for the inconvenience. We are currently carrying out an upgrade.We implore you to please bear with us as soon we would be able to assist you. Kindly try again later. GA,684296,relevant,"Same inability to subscribe to the 4GB-for-₦1,000 plan.",non_actionable_or_context_required,0.1200781450687809,0.5116255283355713,@GloCare I subscribed for 1000 and instead of 4g I got 1.6,"@799974 if you did not get the ""full bundle"" it means you did not auto-renew your previous plan nor did you re-subscribe within 7days of data exhaustion/expiry ~ OO",2883657,relevant,"Same 4GB plan, explaining why the expected bundle was not received.",good
18,"@GloCare, poor network connection, 08057740734, GioneeM5-Mini, AgwanTiv Tunduwada Abuja. Please do something. https://t.co/4IRexQJkeg",network_issue,0.156557684546645,2,network_issue,0.156557684546645,2.763795052193596e-13,"@GloCare, poor network connection, 08057740734, GioneeM5-Mini, AgwanTiv Tunduwada Abuja. Please do something. https://t.co/4IRexQJkeg","@136518 Hello Olokunniyi, we apologize. We are currently working on the network issue in your location. Please bear with us. SO",94476,relevant,"Same poor network connection, device and location context.",network_issue,0.1608243149927757,0.1318591833114624,"@GloCare, poor network connection. GioneeM5-Mini, AgwanTiv Tunduwada Lugbe FHA Abuja, 08057740734. Please work on it. Thanks.","@136518 Good morning, we empathize. Please alternate the network mode, select either 2g or 3g only, not both. Restart your device afterwards. SO",1801306,relevant,Near-duplicate network complaint with same device/location.,sim_or_device_issue,0.2308539996670197,0.4375795423984527,"@GloCare OK.. 08112822345, gionee a1 lite, gwagwalada Abuja, unable to connect",@454113 The SIM is a 4G SIM and the location has 4G network coverage.  TT,1439738,partial,"Unable to connect is related to network/device access, but the specific diagnosis differs.",good
19,"@GloCare lekki gardens phase 1, sangotedo, lagos",non_actionable_or_context_required,0.1453240584529087,2,non_actionable_or_context_required,0.1453240584529087,3.0028987651510575e-13,"@GloCare lekki gardens phase 1, sangotedo, lagos",@633585 We do apologize about that. Work is ongoing to restore network. Kindly bear with us. CA,2156632,relevant,Location-only query is matched to a network issue at that location.,non_actionable_or_context_required,0.1400160488219759,0.6590932607650757,"@GloCare Ado, Ajah, Lekki, Lagos.","@449835 Dear OD, we are aware of the network situation in Ajah,and the issue is already receiving attention. We offer our apologies about this. ^GM",1516692,relevant,Same kind of location-only network-support context.,network_issue,0.1472796575179003,0.699518620967865,@GloCare Ojo Local Government Area Lagos,"@147265 Evening ALOOMA, 4G network is available at the location. Please call 4000 help desk for troubleshooting assistance.  TT",138739,relevant,Location/network-coverage evidence is useful for this context-only query.,good
20,@GloCare @GloCare please stop  the subscription on this line .I have send DEREG to 7728 and stop to 55223. my 25 naira is deducted everytime 09058974494,unauthorized_charge_or_vas,0.1377334004451118,2,unauthorized_charge_or_vas,0.1377334004451118,2.2567527274003354e-13,@GloCare @GloCare please stop  the subscription on this line .I have send DEREG to 7728 and stop to 55223. my 25 naira is deducted everytime 09058974494,@147736 Good evening Victory. May we know the date you experienced the deduction? Thank you. FA,558225,relevant,Same recurring ₦25 unauthorized deduction and VAS deactivation request.,data_plan_issue,0.1418064867885356,0.3355650901794433,@GloCare Please stop the constant deduction of 50 naira from 08115374816 for no subscription to any service.,"@436612 Apologies, your complaint has been forwarded for resolution. DA",2651200,relevant,Same unauthorized recurring airtime deduction problem.,unauthorized_charge_or_vas,0.1286449714800955,0.4099031686782837,@Glocare Stop deducting my credit. 50 naira was deducted from 08115374816. I did not subscribe to any service. Stop any active subscription.,"@436612 Morning Alabi, kindly send STOP to  35182 to deactivate the VAS on the line. Also send STOP to 2442 for full VAS DND.  TT",1480657,relevant,Same unauthorized VAS deduction with a direct deactivation action.,good
21,@GloCare @GloCare please can I get a reply?,non_actionable_or_context_required,0.1288941538684216,2,non_actionable_or_context_required,0.1288941538684216,4.1357265919209074e-13,@GloCare @GloCare please can I get a reply?,"@721566 We apologize, Your complaint has been escalated. Kindly be patient.EE""",2536506,relevant,Same request for a response and escalation context.,non_actionable_or_context_required,0.1272548993811884,0.3169549107551574,@GloCare Still no reply?,@139861 The service has been deactivated and issue escalated to the unit in charge . Please send STOP to 2442. Thank you for your patience. AP,107418,relevant,Same repeated no-response complaint with escalation/deactivation.,network_issue,0.1388913959643423,0.3291457295417785,@GloCare No response since giving my details,"@481004 Morning Thomas, kindly provide the details in this chat thread for assistance.  TT",1555400,relevant,Same no-response-after-details situation.,good
22,@GloCare @GloCare kindly deactivate any service your system activated for me... Don't let me drag you and your network.... I didn't subscribe to any VAS... Please do the needful...,data_plan_issue,0.1406516687139375,2,data_plan_issue,0.1406516687139375,1.8909366802412347e-13,@GloCare @GloCare kindly deactivate any service your system activated for me... Don't let me drag you and your network.... I didn't subscribe to any VAS... Please do the needful...,"@281380 Apologies. Service deactivated. You may also send STOP to 2442 to blacklist your line from such subsequently,if you haven't. Thank you for choosing Glo. #TeamUnlimited# GA",2390204,relevant,Same unauthorized VAS deactivation request and gives STOP guidance.,data_plan_issue,0.1307753351312439,0.4266026020050049,@GloCare Deactivate all vas on 08054434520,"@140961 we have notified the appropriate team and it will be rectified. However, sms STOP to 2442 to stop all unsolicited VAS sms/calls ~ OO",549928,relevant,Same request to deactivate all VAS.,voice_or_line_issue,0.1203909826919648,0.4480511844158172,@GloCare my number is 07059154283. I did not subscribe for any VAS. Cancel all such VAS subscription for my line. Regard.,"@432910 Hello Danny, the VAS on the line has been deactivated. Send STOP to 2442 for full VAS DND.  TT",1341493,relevant,Same unauthorized VAS complaint and deactivation response.,good
23,@GloCare data,data_plan_issue,0.1892270717141016,2,data_plan_issue,0.1892270717141016,3.200152003200035e-13,@GloCare data,@720559 Text 53 to 127 or dial *127*53#. Thank you. SO,2531686,relevant,Directly matches the terse 'data' request and provides a data action.,data_plan_issue,0.1766384321971293,0.0868016481399536,@GloCare Data please,@776445 Kindly send activate to 127. ET.,2779845,relevant,Directly matches the terse 'Data please' request.,data_service_issue,0.1375132050602795,0.3268361091613769,@GloCare how can I check my data,"@243074 Good morning, text info to 127 or dial *127*0#. Thank you. SO",653004,relevant,Related data-support request about checking data balance.,good
24,"@GloCare Naibawa jarkasa off zaria road kano along titin yanshana by western bypass ring road kano.tecno phantom z,acer,iPad apple and globolt modem",non_actionable_or_context_required,0.1284325848993702,2,non_actionable_or_context_required,0.1284325848993702,2.354868145100497e-13,"@GloCare Naibawa jarkasa off zaria road kano along titin yanshana by western bypass ring road kano.tecno phantom z,acer,iPad apple and globolt modem","@483717 We apologize for the inconvenience, our engineers are working on the issue.Kindly bear with us. Thank you. AP",2093019,relevant,Same location/device context and network problem; response addresses the issue.,non_actionable_or_context_required,0.1476529627198763,0.5563042759895325,"@GloCare 08079978821,08054442891,08098442891,08055655085. Naibawa jarkasa off zaria rd kano titin yan shana of western bypass ring road kano",@483717 Kindly provide your device type  and issue duration .EE,1567409,relevant,Same location context with very similar network-support details.,sim_or_device_issue,0.1429453557277067,0.7646334767341614,@GloCare 08054364586. Tudun wada kaduna along taiwo road and gidan gayu police station kaduna. Device is samsung tab E.,@490005 The issue reported has been escalated for resolution. Kindly be patient.  TT,1594595,partial,"Related location/device issue, but different location and less direct match.",good
25,@GloCare I'm sorry. It's Glo Gamestore App subscription. I didn't subscribe for it.,data_plan_issue,0.1347433493513489,2,data_plan_issue,0.1347433493513489,2.643555947062781e-13,@GloCare I'm sorry. It's Glo Gamestore App subscription. I didn't subscribe for it.,@480541  kindly provide your number so we assess it ~ OO,1553146,relevant,Same unauthorized Glo Gamestore subscription; asks for the number to verify.,data_plan_issue,0.1442690567821201,0.3154207766056061,@GloCare I didn't subscribe to Glo Gamestore. pls stop the subscription and return my credit.,@201381 Send STOPimage or UNSUBimage to 6611 to deactivate the service. SO,2874389,relevant,Exact same Gamestore unauthorized-subscription complaint and deactivation action.,unauthorized_charge_or_vas,0.1384380887172402,0.453054666519165,"Dear @GloCare u guys have started again.
You have been successfully subscribed to daily subscription of Glo Gamestore. Visit https://t.co/i5rkmY8AFw and play unlimited Games.
I NEVER SUBSCRIBED TO THIS!!!","@220603 we apologize, please provide your number so we verify the claim and assist ~ OO",2883641,relevant,Same unauthorized Gamestore subscription complaint.,good
26,@GloCare N30 and I noticed it this morning ard 6am while leaving for work,non_actionable_or_context_required,0.1229361315900192,2,non_actionable_or_context_required,0.1229361315900192,2.843475780354987e-13,@GloCare N30 and I noticed it this morning ard 6am while leaving for work,"@139868 Due to system upgrade,  we apologize we are not be able to run a check at this time. Kindly exercise some patience. ET.",645767,relevant,Same unexplained deduction context/time observation and system-check limitation.,non_actionable_or_context_required,0.1300875371970621,0.7431821823120117,@GloCare I noticed it today 13th Oct 2017,"@165650 Due to system upgrade,  we apologize we are not be able to run a check at this time. Kindly exercise some patience. UO",900731,relevant,Same observation of an unexplained deduction and matching system-upgrade response.,unauthorized_charge_or_vas,0.1324136115006676,0.7502242922782898,"@GloCare 08050904449. Been noticing it for a while now, but last night and this morning was kind of annoying.",@564748 We will send your details to the designated unit to look into it. FA,1894603,relevant,Related unexplained recurring deduction complaint sent for investigation.,good
27,@GloCare This is to inform you dt Glo network has been exrememly poor in my house (pako bus stop iyana ipaja) since last week. Pls help fix,network_issue,0.170910905321234,2,network_issue,0.170910905321234,2.65118358039676e-13,@GloCare This is to inform you dt Glo network has been exrememly poor in my house (pako bus stop iyana ipaja) since last week. Pls help fix,"@522616 Hello Adebowale, may we know the exact issue being experienced for timely assistance. IQ",1728555,relevant,Exact same poor Glo network complaint and location context.,data_service_issue,0.1208138381389972,0.4536840617656708,@GloCare good morning.. Why is my GLO network poor??? Since on Friday up till now showing me emergency call only. Pls. 08052515535,"@128809 We apologize for any inconvenience. Kindly provide your, exact location, device type and error response so we can progress UO.",1732070,relevant,Same poor-network/emergency-call issue in a similar support scenario.,network_issue,0.1342270384554528,0.4886828064918518,@GloCare Pls can you help us look into the problem of very poor Network on Glo.My data is just wasting away.,@496648 may we know the exact challenge experienced? OO,1620506,relevant,"Same poor-network complaint, including data being wasted.",good
28,"@GloCare pls check my life easier,  08057809212. I had 7k bonus. Got sms to dial *124#. I did it wiped my bonus and gave me 10k that I can't use. Pls advise. I didn't want to migrate the line",bonus_or_promotion_issue,0.1340366557979916,2,bonus_or_promotion_issue,0.1340366557979916,2.163868314131873e-13,"@GloCare pls check my life easier,  08057809212. I had 7k bonus. Got sms to dial *124#. I did it wiped my bonus and gave me 10k that I can't use. Pls advise. I didn't want to migrate the line","@645707 We sincerely apologize,we are unable to assist you at the moment reason being that we are carrying out an upgrade.Kindly check back later.ET",2208843,relevant,Exact same bonus problem involving an unexpected migration/bonus change.,data_plan_issue,0.1217269391779199,0.5819441080093384,"@GloCare pls i have 3,000 bonus on my sim but can't make use of it why?  08078615663.verify it pls😢😢",@507148 Line check shows you are calling non Glo numbers. Please note that the jumbo bonus can only call glo number. UO,1663933,relevant,"Same unusable bonus problem, with a concrete explanation.",bonus_or_promotion_issue,0.1261155173059664,0.6234862208366394,"@GloCare Gud afternoon,  I have a 6k bonus on my line which am unable to use. Thanks","@165596 Hello Oladimeji, may we have your number for clarification on the bonus. Thank you. SO",327889,relevant,Same unusable bonus complaint and request for clarification.,good
