annotation_status,review_order,golden_selected,golden_intent,confidence,case_type,escalation_expected,annotation_notes,customer_tweet_id,customer_text,brand_response,text_length,has_question_mark,has_number,signal_network,signal_data,signal_recharge,signal_sim_device,signal_vas_charge,signal_bonus_promo,signal_account_general,signal_low_information,signal_possible_escalation,signal_short_message,topic_signal_count,review_priority
,32,yes,recharge_or_airtime_issue,high,routine,no,Customer receives an invalid MMI error while attempting a recharge.,1043403,"@GloCare, ""Connection problem or invalid mmi code"" is what I see as I tried recharging 08072006674. Is *123*pin# no longer working? Thanks","@366734 Good morning, we apologize for the inconveniences experienced. Please call 123 and follow info to recharge. SO",138,True,True,False,False,False,True,False,False,False,True,False,False,1,1
,33,yes,data_service_issue,medium,escalation_relevant,yes,Customer provides troubleshooting details for a data-service problem.,1862879,"@GloCare Cell no- 07051883771; Location- Surulere, Lagos; Device name- BlackBerry: Device model- Q10; APN- gloflat; username &amp; password-flat","@556657 Gabriel, We sincerely apologize for the inconveniences. Your line is fine. Kindly exercise patience, the issue is being resolved. FA",144,False,True,False,False,False,True,False,False,False,True,False,False,1,1
,34,yes,sim_or_device_issue,high,routine,no,Customer has difficulty retrieving/replacing a SIM because of identification requirements.,348309,"@GloCare  I dnt understnd y, after a prper sim reg. I cant retrieve my sim at #Gloword because of 🆔 card despite providing a civil servnt 🆔.","@161790 Good evening, sim replacement requirements are: sim card hold (or sworn affidavit),valid I.d card, N100 and frequently 5 dialed numbers. SO",139,False,False,False,False,False,True,False,False,False,False,False,False,1,0
,35,yes,network_issue,high,routine,yes,Customer reports slow and unstable network quality in a specific location.,395956,"@GloCare 
Hello, can we plz have some reprieve to network quality in Graceland, Zaria, Kaduna State? 
It's embarrassingly slow n unstable.","@209744 We apologize for the inconveniences,we are aware of the issue and it's being worked on. EE",136,True,False,True,True,False,False,False,False,False,True,False,False,2,2
,36,yes,network_issue,high,escalation_relevant,yes,Customer reports a months-long local network outage affecting calls and data.,2247212,"@GloCare URGENT! I have not had network in my house area (somewhere in Rumuodara,PHC) for months. Which kain wahala be this? Once i get back from work i cant call or use data on my Glo line.","@654882 We apologize.Kindly provide your number, device type, exact location and error response for a quick check . Thank you. AP",190,True,False,True,True,False,False,False,False,False,True,False,False,2,2
,37,yes,network_issue,high,routine,no,Customer asks about availability of a 4G site in a specific area.,315466,"@GloCare @191307 Is there any 4g site around Egbeda, new Ife road Ibadan?","@191313 @191307 Morning, yes there is along egbeda-atuba road, Ibadan, Oyo state. TT",73,True,True,True,True,False,False,False,False,False,False,False,False,2,1
,38,yes,data_service_issue,medium,escalation_relevant,yes,Customer reports data access problems after subscribing and expresses dissatisfaction.,2800841,"@GloCare @117627 
I load card and subscribed u telling me e never work that all these time am using my money de browse ? i DM u guys ‘ una de do me like hausa girl una no even wan pick my calls 
No be by force to use Glo oo 
God punish all of una 🚶🏿✌🏿
Hi @118424 🤚🏿",@774274 @117627 @118424 Already replied . ^GM,262,True,True,False,True,False,False,False,False,False,True,True,False,1,2
,39,yes,data_service_issue,high,routine,no,Customer asks whether receiving shared data implies reciprocal sharing.,967837,"@GloCare if a friend share his data with me ,does it indirectly means I share mine with him too ?","@318686 Morning, no it does not. AP",97,True,False,False,True,False,False,False,False,False,True,False,False,1,1
,40,yes,data_service_issue,high,escalation_relevant,yes,Customer reports unexpectedly rapid data consumption.,658682,How can I have 4095mb of glo data as at 13th November and today 22nd I'm left with only 200mb haba @GloCare which kind 419 be this?,@276819 We kindly request you monitor your data usage. You may want to check if you have any number(s) sharing data with you. CA,131,True,True,False,True,False,False,False,False,False,True,False,False,1,1
,41,yes,data_plan_issue,high,routine,no,Customer asks whether a specific streaming-data benefit is still available.,2945949,"@GloCare that Streaming #YouTube video from 1am-5:30am is it still on ?
Because I always buy data of #2.5k",@813733 yes it is still on ~ OO,106,True,True,False,True,False,False,False,False,False,False,False,False,1,0
,42,yes,data_plan_issue,high,routine,no,Customer asks whether unused data carries over after a plan extension.,2812719,"@GloCare Yeah, but will the extension retain the unused data and take it over to the next month?",@120252 yes it will ~ OO,96,True,False,False,True,False,False,False,False,False,False,False,False,1,0
,43,yes,data_plan_issue,high,routine,no,Customer received less data than expected under a specific plan/renewal rule.,69361,"@GloCare just bought 1000 data and instead of 3.2gb I saw 1648mb on 07059556635 Wi-Fi modem, what's happening?","@131705 Yes, initially for 1000 data plan you get 1.6gig as you auto renew/extend your plan, you will get the 100% bonus data for the plan bought. Also,a 7-day grace period is provided for renewal of plan after expiration, after which you are only eligible to half the data volume. ET.",110,True,True,False,True,False,False,False,False,False,False,False,False,1,0
,44,yes,data_plan_issue,medium,ambiguous,yes,Customer asks whether a migration code would affect an existing data package.,228170,"@GloCare I got a message that I should dial x100x6x1#,hope it wouldn't affect my package of #2500 for 10G data?","@170400 Morning Johnson, may we know if you intend to migrate to Gbam Extra package?  TT",111,True,True,False,True,False,False,False,False,False,False,False,False,1,0
,45,yes,network_issue,high,routine,yes,Customer reports complete loss of network service.,1199678,No glo network since 6pm ...@GloCare what's up?,"@401880 Hello, we empathize with you. May we know the error message you get? PE",47,True,True,True,False,False,False,False,False,False,True,False,False,1,1
,46,yes,network_issue,high,escalation_relevant,yes,Customer reports emergency-only network status lasting several days.,1732070,@GloCare good morning.. Why is my GLO network poor??? Since on Friday up till now showing me emergency call only. Pls. 08052515535,"@128809 We apologize for any inconvenience. Kindly provide your, exact location, device type and error response so we can progress UO.",130,True,True,True,False,False,False,False,False,False,True,False,False,1,1
,47,yes,data_plan_issue,medium,ambiguous,yes,Customer cannot subscribe to a data package and reports an ongoing network-related problem.,2769400,@GloCare @170399 what sort of network is this? over 7hrs I've been trying to subscribe. network engineers have been working since 6am,@232567 @170399 Kindly try again issue has been resolved. ET.,133,True,True,True,False,False,False,False,False,False,True,False,False,1,1
,48,yes,network_issue,high,escalation_relevant,yes,Customer reports severe network outage and asks whether service will remain unavailable.,1210497,"@GloCare Network status? Worst! I Just replying 2 days later means, everything was shot down till last night, hope this last past 12 noon.","@404147 We apologize for any inconvenience. Kindly provide your phone number, exact location, device type and error response so we can progress UO.",138,True,True,True,False,False,False,False,False,False,True,False,False,1,1
,49,yes,network_issue,high,routine,yes,Customer reports very poor network quality and needs location-specific assistance.,1833990,"Am I d only one ""enjoying"" ds very poor network from @117627? So terrible. @GloCare @145585","@550127 @117627 @145585 Afternoon Abayomi, may we know the exact issue being experienced at your location to offer you assistance? TT",91,True,True,True,False,False,False,False,False,False,False,False,False,1,0
,50,yes,bonus_or_promotion_issue,high,routine,no,Customer cannot access bonuses after recharge and asks why.,1917354,@GloCare I have recharge but can't access my bonuses. Why?,@241944 Kindly dial #122*35# to check it. AP,58,True,False,False,False,True,False,True,True,False,False,True,False,3,2
