query,tfidf_result,chroma_result_1,chroma_result_2,chroma_result_3,chroma_id_1,chroma_id_2,chroma_id_3,tfidf_in_chroma_top3
@GloCare please your 4GLTE is not working in my area. Ajah-sangotedo. Not been able to use the internet for days now,@GloCare please your 4GLTE is not working in my area. Ajah-sangotedo. Not been able to use the internet for days now,@GloCare please your 4GLTE is not working in my area. Ajah-sangotedo. Not been able to use the internet for days now,@GloCare I can’t get 4G on my Glo Mi-Fi in ajah.,@GloCare please whats your 4G help line?,21354,1553131,161005,True
@GloCare 09053038780 thanks,@GloCare 09053038780 thanks,@GloCare 09053038780 thanks,@GloCare 08158174057 Thanks,@GloCare 08158174057 thanks,21353,327887,655282,True
@GloCare iPhone 7plus,@GloCare iPhone 7plus,@GloCare iPhone 7plus,"@GloCare 08074413112,warri,iPhone",@GloCare Nokia 3310 (2017),21356,209496,2330494,True
@GloCare Still the same. Really gutted now,@GloCare Still the same. Really gutted now,@GloCare Still the same. Really gutted now,@GloCare Fed up,@GloCare And it wasn't like this before,21358,2330426,1257422,True
@GloCare For the past 2weeks now I have not been able to use my Glo internet and this is so frustrating. Fix ur network pls,@GloCare For the past 2weeks now I have not been able to use my Glo internet and this is so frustrating. Fix ur network pls,@GloCare For the past 2weeks now I have not been able to use my Glo internet and this is so frustrating. Fix ur network pls,@GloCare for some weeks now the Glo network has been so poor when it comes to Internet services... Pls what is wrong,@GloCare hi there has been an issue with glo network in my area since morning ppl are complaining they are unable to browse thanks,21360,720891,2159608,True
"@GloCare 09053038780 iphone7 plus jibrin estate, olokonla bstop. The network is not just browsing","@GloCare 09053038780 iphone7 plus jibrin estate, olokonla bstop. The network is not just browsing","@GloCare 09053038780 iphone7 plus jibrin estate, olokonla bstop. The network is not just browsing","@GloCare Number - 08055326524
Device - Iphone 7
Exact Location - Ago Palace Way , Okota
No error response - the network is just poor n it fluctuates","@glocare please your browsing is too slow,is it network problem or the  phone or may be line am using?",21363,2195557,2443719,True
@GloCare Is it that ur engineers are not doing anything or u guys have not reported to em? It’s been 2weeks now that u can’t use the internet,@GloCare Is it that ur engineers are not doing anything or u guys have not reported to em? It’s been 2weeks now that u can’t use the internet,@GloCare Is it that ur engineers are not doing anything or u guys have not reported to em? It’s been 2weeks now that u can’t use the internet,"@GloCare now 11 days with no service, are you sure  engineers are working on dis issue ?",@GloCare pls what's my offense with this ur bad internet. Engineers keep working on it.,21365,1733732,1506138,True
@GloCare Exercise patience for how long? It’s been over 2weeks,@GloCare Exercise patience for how long? It’s been over 2weeks,@GloCare Exercise patience for how long? It’s been over 2weeks,@GloCare Approaching 1 week now,@GloCare how long will that take?,21367,1059404,2231253,True
@GloCare Deduction of 150 from my account for caller tunes which I never subscribed to,@GloCare Deduction of 150 from my account for caller tunes which I never subscribed to,@GloCare Deduction of 150 from my account for caller tunes which I never subscribed to,@GloCare I woke up to see that #100 has been deducted from my account in the name of caller tunes subscription which I never did. why?,@GloCare I did not subscribe for caller tune and my credit was deducted.,21374,276364,227301,True
@GloCare 08058357087,@GloCare  a feast for glo collecting tat funds as if I don't know wat to do wit money please delete all unnecessary things I didnt subscribe,@GloCare 08058357087,@GloCare 07057427007,@GloCare 08070975277,21373,328947,1581961,False
@GloCare do you have to wait for someone to recharge before you deduct their money for no reason.,@GloCare do you have to wait for someone to recharge before you deduct their money for no reason.,@GloCare do you have to wait for someone to recharge before you deduct their money for no reason.,@GloCare please I don't know why you deduct my money on recharge. Kindly deactivate all deductions on 08118187834,"@GloCare I don't like the fact that when I get to recharge, my credit keeps getting deducted. It's so annoying.",21377,69343,507057,True
@117627 @GloCare why does your resolution time take forever 🤔🤔🤔🤔,@117627 @GloCare why does your resolution time take forever 🤔🤔🤔🤔,@117627 @GloCare why does your resolution time take forever 🤔🤔🤔🤔,@GloCare Up till now no resolution,@GloCare @117627 Am waiting for u people to resolve it o,21379,575878,670056,True
"@GloCare @117627 I recharged N1500 on my line yesterday, this morning I'm seeing N1430. What did I do to you guys? What?","@GloCare @117627 I recharged N1500 on my line yesterday, this morning I'm seeing N1430. What did I do to you guys? What?","@GloCare @117627 I recharged N1500 on my line yesterday, this morning I'm seeing N1430. What did I do to you guys? What?",@GloCare I recharged N1000 earlier today and N170 was deducted for no reason - first 150 and later 20. Attempts to call you has failed,@117627 @GloCare Why's N4000 left out? Cos that's the main reason I recharged,22385,394350,2536508,True
@GloCare @117627 Here's my number 09055824155,@GloCare @117627 Here's my number 09055824155,@GloCare @117627 Here's my number 09055824155,@GloCare Here is my number 08159528679,@GloCare Here's my number 07055115628,22382,848053,834350,True
@GloCare 07051905723. 40 aitken road sabon gari Kano. Infinix note 4. No error response I'm getting 1 bar of service the network is very slow.,@GloCare 07051905723. 40 aitken road sabon gari Kano. Infinix note 4. No error response I'm getting 1 bar of service the network is very slow.,@GloCare 07051905723. 40 aitken road sabon gari Kano. Infinix note 4. No error response I'm getting 1 bar of service the network is very slow.,"@GloCare 08182609373, very slow or not connecting, Abaren Street, ikosi Ketu. 7am - 1am, Injoo Halo X.","@GloCare 07059881072
Fagun estate ,Ondo town, Ondo west local Government
07050841673
4days now network has been bad
Using infinix zero 4 plus",22389,1122577,510159,True
@GloCare Pls no glo service in my house at aitken road Kano. My subscription is wasting 😥😭,@GloCare Pls no glo service in my house at aitken road Kano. My subscription is wasting 😥😭,@GloCare Pls no glo service in my house at aitken road Kano. My subscription is wasting 😥😭,@GloCare pls my glo subscription isn't working it keeps sending me this https://t.co/MXX7v5E6UL,@GloCare Service is so bad here in Darmanawa Kano https://t.co/ufzXoWnyNH,22392,2766744,2716693,True
Is Infinix Note 4 Pro compatible with 4G? @117627 @GloCare,Is Infinix Note 4 Pro compatible with 4G? @117627 @GloCare,Is Infinix Note 4 Pro compatible with 4G? @117627 @GloCare,@GloCare @117627 Any possible hope for 4G compatibility for Infinix devices any time soon,"@GloCare 08110002485, Ajah, Infinix Note 4, Brings Edge instead of 4G",28319,2556904,1746633,True
@GloCare @117627 I'm still waiting to get a feedback from u guys. This is not a joke to me. U hav to refund the money you took from my sim,@GloCare @117627 I'm still waiting to get a feedback from u guys. This is not a joke to me. U hav to refund the money you took from my sim,@GloCare @117627 I'm still waiting to get a feedback from u guys. This is not a joke to me. U hav to refund the money you took from my sim,"@117627 @GloCare I need to confirm the sim, please check",@182496 @145585 @GloCare I thot I was the only one that had this issue. I called to complain and they made it seem like I was mad...I have stopd my sim @117627,28322,507051,278829,True
@GloCare Good morning I want to subscribe for a data plan and my money was deducted and I was not given data 0815 579 0907 Pls I need my dat,@GloCare Good morning I want to subscribe for a data plan and my money was deducted and I was not given data 0815 579 0907 Pls I need my dat,@GloCare Good morning I want to subscribe for a data plan and my money was deducted and I was not given data 0815 579 0907 Pls I need my dat,"@GloCare hello guys, I can't subscribe for data plans on my line. Kindly assist. 08154131832. Monthly plan",@GloCare I want to ubshare my data plan,28326,276381,2663392,True
"@GloCare #1000  was deducted f on my account balance  yesterday 

I dial *127*53#","@GloCare #1000  was deducted f on my account balance  yesterday 

I dial *127*53#","@GloCare #1000  was deducted f on my account balance  yesterday 

I dial *127*53#",@GloCare N50 was deducted from my account today for no reason,@GloCare The phone number is there in my message. Some money is being deducted from 08075848466 everyday. Have been complaining for long.,28324,224746,1830097,True
@GloCare under 7days u guys just swindle my money for services I did not request for please Bfr I start trending with u guys in a negative,@GloCare under 7days u guys just swindle my money for services I did not request for please Bfr I start trending with u guys in a negative,@GloCare under 7days u guys just swindle my money for services I did not request for please Bfr I start trending with u guys in a negative,@GloCare service is still on #08079569562. pls I'm sick of dis. I need my money back,"@GloCare 
Am not satisfied with your services towards my line",28332,1293983,2651185,True
"@GloCare called me to participate in their ongoing promo. Bt i declined,i prefer a gud service nt promo. #promo not 4 all, service is 4 all","@GloCare called me to participate in their ongoing promo. Bt i declined,i prefer a gud service nt promo. #promo not 4 all, service is 4 all","@GloCare called me to participate in their ongoing promo. Bt i declined,i prefer a gud service nt promo. #promo not 4 all, service is 4 all",@GloCare @117627 I will like to know your current promo for glo customers and it's details. Kindly reply as soon as possible,@GloCare @283314 You guys must stopped this your unnecessary promo n improved your services. Calls are not going through n every minute is drop call. Wake up glo,28335,1151585,684281,True
@GloCare Pls we need a better service here @1888/ifo axis...out data is always a waste.,@GloCare Pls we need a better service here @1888/ifo axis...out data is always a waste.,@GloCare Pls we need a better service here @1888/ifo axis...out data is always a waste.,"@GloCare really past few days has been from bad to worst with service and data usage, pls do something about this...",@GloCare No data services since at about 5:30am. Please what's going on. My number 08055404663. Garki one axis. Thanks.,28334,2706261,136622,True
"@GloCare No browsing network for us here, and our data subscription is always like a waste.. 
U can carry out a survey on this.. Form itoki to ifo","@GloCare No browsing network for us here, and our data subscription is always like a waste.. 
U can carry out a survey on this.. Form itoki to ifo","@GloCare No browsing network for us here, and our data subscription is always like a waste.. 
U can carry out a survey on this.. Form itoki to ifo","@GloCare OK, thank you. I really need my data network to work, that's the most important now.",@GloCare I don't know how I will have data and find it difficult to use it because of your network problem. I'm not happy,28337,297204,1855781,True
@GloCare NCC never said your subscribers should wait for 17days!!!,@GloCare NCC never said your subscribers should wait for 17days!!!,@GloCare NCC never said your subscribers should wait for 17days!!!,You will always wait for someone to subscribe large volume of data before being unfortunate @117627 @GloCare,"@117627 @GloCare @117626 @5906 all the subscriptions u unsubscribed are automatically done by ur so call fraudulent activities, God will punish u, NCC are watching u like a Dog that cannot bite, I will throw us Sim in dust bin soon, 09059204435 it has not end yet https://t.co/qsvJw8eJ99",28342,20378,703693,True
"@GloCare 892__credit_card__F.      Outlets visited are: 1) Gloworld @ Aba road, waterlines, Port Harcourt. 2)Wuse2 Abuja","@GloCare 892__credit_card__F.      Outlets visited are: 1) Gloworld @ Aba road, waterlines, Port Harcourt. 2)Wuse2 Abuja","@GloCare 892__credit_card__F.      Outlets visited are: 1) Gloworld @ Aba road, waterlines, Port Harcourt. 2)Wuse2 Abuja","@GloCare Mobile no: 08054014165, Serial: 892__credit_card__F, Alternative no: 08030418727, date: 25/11/2017, Location: Airport road, Ikeja.","@GloCare 09058394447, Iba Housing Estate, Ojo, Lagos, Android device",28340,1021286,1881390,True
