review_example,customer_tweet_id,customer_text,brand_response,golden_selected,golden_intent,confidence,case_type,escalation_expected,annotation_notes
19,347136,"@GloCare i went to ur office to change my sim to Nano sim, after presenting my sim n idcard, d lady there said I mst bring an affidavit",@198670 You will need an affidavit in place of the items you cannot provide for the replacement. ET,yes,sim_or_device_issue,high,routine,no,SIM replacement requires affidavit.
20,2717684,"@GloCare I don't have the Sim pack but, I have a valid ID",@361684 Kindly get an Affidavit and /or police report for the process. Thank you.  TT,yes,sim_or_device_issue,high,routine,no,Missing SIM pack and asks about replacement requirements.
21,1123768,"@GloCare Please, I want to complain about the poor service in my area. If I put on 3G service it shows emergency calls only.  PLEASE HELP!","@153133 Good morning, we empathize. Please alternate the network mode, select either 2g or 3g only, not both. Restart your device afterwards. GA",yes,network_issue,high,routine,yes,Emergency-only service on 3G indicates network/connectivity issue.
22,94526,@GloCare Glo charges me 0.24 per secs same network cos I called glo line for 5 secs and was charged 1.2 /5secs =0.24 x60 =N14. 4 per min.,"@136527 ""Hello Aminu, may we have your number for clarification. Thank you. IQ",yes,voice_or_line_issue,high,escalation_relevant,yes,Customer reports unusually high voice-call charges.
23,2330459,@GloCare Kindly help deactivate auto renewal on my line. I have tried to do so via text messages it wasn't going. My phone no: 08056341036,@419756 Kindly conform the service you wish to cancel auto renewal on. Thank you. CA,yes,data_plan_issue,high,routine,no,Requests deactivation of data auto-renewal.
24,1199689,"@GloCare Your call cannot be completed at the moment, please try again later","@401886 Afternoon Habiba, kindly recharge your line. You have insufficient credit to make calls. Dial #124*1# to check.  TT",yes,voice_or_line_issue,high,routine,no,Calls cannot be completed; historical response attributes it to insufficient credit.
25,2092984,@GloCare pls my line got blocked while trying to input my code,"@618458 Apologies, we don't handle SIM blocked  issue(s) online due to security reasons. Kindly call 121 or visit Gloworld for assistance. DA",yes,sim_or_device_issue,high,escalation_relevant,yes,SIM/line became blocked; historical response explicitly requires offline handling.
26,2178917,@GloCare @117627 Pls resolve it ASAP... Cos I can't wait to get bk online... Av been using someone's Hotspot here.. Pls i can't wait till 48 hrs according to this message I just received https://t.co/BeXNzRx4FC,@638601 @117627 The issue has been escalated to the unit in charge and It will be resolved soon. AP,no,non_actionable_or_context_required,high,low_information,yes,Refers to an unresolved prior issue but does not clearly identify the service problem.
27,1266230,"@GloCare I don't want messages about recharge to get bonus etc, it comes in every morning and it's really disturbing","@331948 Hello Meeday, kindly provide your mobile number for assistance to deactivate it. STOP to 2442 is fo full VAS DND.  TT",yes,unauthorized_charge_or_vas,high,routine,no,Wants recurring promotional/service messages stopped.
28,1016172,@GloCare I'm having issues recharging my glo line. I need help pls,"@360439 Good evening. We sincerely apologize for the inconveniences. The issue is being resolved. Please, bear with us. FA",yes,recharge_or_airtime_issue,high,escalation_relevant,yes,Explicit difficulty recharging the line.
29,304494,@GloCare I currently do not have sufficient credit to make the call,@188713 The recharge amount has 5 days validity. View details below.  TT https://t.co/DwDgOHYsCv,yes,voice_or_line_issue,high,routine,no,Insufficient credit prevents calling.
30,2330443,"Hello @gloCare 
I don't receive SMS on my line. Please kindly correct",@562309 Try to restart your phone without the sim on it. Replace sim and try to send a message to your line. CA,yes,voice_or_line_issue,high,routine,yes,Cannot receive SMS on the line.
31,1518982,@GloCare please kindly deactivate the Auto borrow me on dis line 07057946656 up,@472322 Treated. ^GM,yes,recharge_or_airtime_issue,high,routine,no,Requests deactivation of Auto Borrow service.
32,424203,@GloCare @215975 Please unsubscribe entertainment factory on my line 0905 585 8471.,"@215974 Hello Victor, To stop Binbit, please send STOP GL1 to 55357. Thank you. UO",yes,unauthorized_charge_or_vas,high,routine,no,Requests unsubscribe from entertainment service.
33,1632844,@GloCare .THIS is sad cause am thinking of changing my line. not fair . What's happening wit ur network .,"@499618 We empathize, issue is being undertaken by the concerned team, please be patient. SG",yes,network_issue,high,routine,yes,Reports poor network.
34,276707,@GloCare called your customer care three times today and they've done the same thing you're doing now. Feigning assistance!,@182118 Please state the issue in this chat thread for assistance. Thank you.  TT,no,non_actionable_or_context_required,high,low_information,yes,Customer-service complaint without underlying support issue.
35,65411,@GloCare u guys wee just be deducting 1s money and if u now call u wee start hearing..u subscribed for certain plans... Issa lie o,@130981 May we know how much was deducted and when the deduction was made?kindly provide your number for assistance. ET.,yes,unauthorized_charge_or_vas,high,escalation_relevant,yes,Reports unexplained deductions/subscriptions.
36,2715647,"@GloCare 3days old sim wit N400, plus bonus and jumbo. Only about 10mins call. No SMS, no internet. Calculate it","@762314 Hello Oses, kindly provide the mobile number for checks and assistance.  TT",yes,sim_or_device_issue,medium,escalation_relevant,yes,New SIM has multiple service problems; SIM setup/account-specific handling.
37,1855757,"@GloCare seems you guys now run shift with a data service I paid for. At night no network, in the morning it shows face.","@555108 Good morning. We apologize for the inconveniences. May we have your number, location, device name, model, APN, username and password? FA",yes,data_service_issue,high,escalation_relevant,yes,Intermittent data service.
38,2218246,"@GloCare please guys, data browsing just stopped at egbeda/idimu/ikotun area . Alimosho Lagos. Full network bars but no browsing",@343861 Work is ongoing in order to resolve the issue. We crave your patience while this is done. Thank you. CA,yes,data_service_issue,high,escalation_relevant,yes,No browsing despite full signal bars.
39,2443697,"@GloCare @700705 @117627 Bukuru, Jos. Loss of signal for &gt;6 hours. Tafawa Balewa, Jos. Loss of Internet service. This happens on a daily actually.","@700706 @700705 @117627 Sincere apologies. kindly provide your number, device type, exact location with landmark, error message, signal you can see and alternate number. AP",yes,network_issue,high,escalation_relevant,yes,Repeated signal/internet loss.
40,496739,@GloCare ur data service at Lagos island is terrible. I can't browse since morning,"@233522 We apologize. May we have your number, error message, exact location with landmarks, issue duration and device type for assistance. SO",yes,data_service_issue,high,escalation_relevant,yes,Cannot browse.
41,1389446,@GloCare help me check my line 08058011999 i ave megabyte but i pay for internet from the main acct,"@443002 Ensure you have the correct settings. APN- Gloflat, Username - Flat and Password-Flat. Thank you. UO.",yes,data_service_issue,medium,ambiguous,yes,Data exists but internet is charging the main account; needs account/service investigation.
42,2358270,"Good evening guys, so i have been unable to browse properly with my Glo sim since Saturday @GloCare",@562558 We sincerely apologize for the inconvenience. May we have  your location and number? DA,yes,data_service_issue,high,routine,yes,Persistent inability to browse.
43,1836357,"@GloCare 08154796359, alternate number 08068760352, potiskum L.G along airport. don't knw d exactlandmark",@432915 The issue reported has been escalated for resolution. Kindly be patient.  TT,no,non_actionable_or_context_required,medium,low_information,yes,Provides diagnostic details but does not state the actual issue.
44,700256,@153129 my dear friend.. i dont have issues here i am enjoying the data. @GloCare will help you out. make u no vex.,"@194425 @153129 Good evening, thank you. AP",no,non_actionable_or_context_required,high,low_information,no,Explicitly states there is no issue.
45,134239,"@airtel_care @GloCare Pls what is the cheapest data u have because all like other networks like glo, have 1000 for 3.5gb",@146233 Please visit https://t.co/GvxBuIxUZL to see our new plan list. UO,yes,data_plan_issue,high,routine,no,Asks for the cheapest available data plan.
46,1691408,"@GloCare Cellphone number : 07057776132
Device name :Samsung 
Model : galaxy j7
APN: gloflat
Username:  flat
Password: flat","@513436 Good evening,your data subscription has expired. Kindly subscribe then we will follow up. Thank you. AP",no,non_actionable_or_context_required,medium,low_information,yes,Only diagnostic/device details; underlying issue is not stated.
47,445883,"@GloCare pls no Glo network in OKEMESI ekiti,in ekiti west for d past 9days pls,we want to make call and browse ,find sometin do pls","@144577 Morning, we apologize for the inconvenience. Kindly provide your mobile number, error response, exact location with landmarks, LGA , alternate mobile number, issue duration and device type for assistance. TT",yes,network_issue,high,escalation_relevant,yes,Nine-day network outage affecting calls and browsing.
48,1931834,@GloCare glo 09054590520. The last time I sub.  The message I received is that my data expires 2018. Why are yiu deducting my money na.,"@220608 Hello Sandra, the data was exhausted by 2.31 PM today.  TT",yes,data_plan_issue,medium,ambiguous,yes,Questions money deduction associated with a data subscription.
49,163952,"@GloCare 09056699203, the closest landmark is Royal glory hotel, kasmo area, Osogbo, Osun State, huwei honor 6, pls boost your browsing network,","@153952 Hello, we apologize. We are aware of the issue and the network engineers are working to resolve it. Kindly bear with us. TT",yes,network_issue,high,routine,yes,Location-specific browsing/network performance problem.
50,1884511,"@GloCare ... For about 4 hours now. Kindly investigate and act as required. Data services seem fine. Location is Shasha (behind MMA), Lagos.

Thanks!","@562301 Good morning, we empathize. Please alternate the network mode, select either 2g or 3g only, not both. Restart your device afterwards. SO",no,non_actionable_or_context_required,high,low_information,yes,Requests investigation but explicitly says data services are fine; actual issue is unclear.
51,670042,"@GloCare hey,i need help with my subscription...keeps redirecting me to dial *777# to knw more about data plans",@279817 We sincerely apologize for the inconvenience. We are currently carrying out an upgrade.We implore you to please bear with us as soon we would be able to assist you. Kindly try again later. GA,yes,data_plan_issue,high,routine,no,Subscription/data-plan access problem.
52,28337,"@GloCare No browsing network for us here, and our data subscription is always like a waste.. 
U can carry out a survey on this.. Form itoki to ifo","@122205 Morning Vicky, kindly provide your number, error message, exact location with landmarks, issue duration and device type for assistance. TT",yes,data_service_issue,high,escalation_relevant,yes,No browsing despite having a data subscription.
53,1881394,"@GloCare your network is a disgrace, embarrassing that I subscribe and can't even use my data","@561463 We apologize for any inconvenience. Kindly provide your phone number, exact location, device type and error response so we can progress UO.",yes,data_service_issue,high,escalation_relevant,yes,Has data but cannot use it.
54,2167982,The worst network you could ever subscribe to its data is @117627 @GloCare @117626. You have data but you can't browse.,"@636151 We apologize for any inconvenience. Kindly provide your phone number, exact location, device type and error response so we can progress UO.",yes,data_service_issue,high,escalation_relevant,yes,Has data but cannot browse.
55,2695567,"@GloCare pls am currently on #1000 3gb, i heard is now  4gb, hope on my next renewal is 4gb that i’ll see not 3gb as initial.",@261264 Yes it will. UO,yes,data_plan_issue,high,routine,no,Asks about data amount at renewal.
56,360520,@117627 @GloCare if u re having network issues inform ur customers. I thought I ve exhausted my bundle not knowing it's ur incompetence.,"@201381 @117627 Hello Edu, we empathize. May we know the exact issue experienced for clarification. Thank you. SO",yes,network_issue,medium,ambiguous,yes,Network problem appears to cause the perceived bundle/data issue.
57,381896,@GloCare  what is the code to stop getting your entertainment subscriptions finally?I send stop to 55357 only to be subscribed back to it.,"@206559 Good evening, please text STOP to 55357. Also text STOP to 2442 to cancel all unsolicited services. Thank you. SO",yes,unauthorized_charge_or_vas,high,routine,no,Requests stopping entertainment subscriptions.
58,209770,"@GloCare I'm talking of combo for international calling for 1000k subscription check d bal for me *777#,#122*1# isn't showing it nr is 07059646781","@165622 Good evening, please confirm when you subscribed for the combo plan. SO",yes,data_plan_issue,high,routine,no,Asks about international calling combo balance.
59,49737,@GloCare It's high time you pple should introduce social bundles/plan...,"@127131 Hello Yemi, We will notify the management of your request.Thank you  UO.",yes,data_plan_issue,high,routine,no,Requests/asks about a social data bundle/plan.
60,20378,You will always wait for someone to subscribe large volume of data before being unfortunate @117627 @GloCare,"@120454 @117627 Good morning, may we know the exact issue experienced for assistance? SO",no,non_actionable_or_context_required,high,low_information,yes,Vague complaint without a sufficiently clear underlying issue.
