review_order,customer_tweet_id,customer_text,brand_response,golden_selected,golden_intent,confidence,case_type,escalation_expected,annotation_notes
41,209818,"@GloCare We are having difficulties using your network for the past two days now. We can't check balance, we are having call drops and the worst is",@165647 We apologize for the inconveniences experienced. Network engineers are presently working to resolve the issue. Kindly be patient. SO,yes,network_issue,high,escalation_relevant,yes,Broad network failure with call drops and inability to check balance; engineers are already involved.
42,2391726,@GloCare  OK,@688831 Thank you for choosing Glo. #GloEverydayBonanza #TeamUnlimited# GA,yes,non_actionable_or_context_required,high,low_information,no,Only an acknowledgement; no actionable customer-support goal.
43,2470823,@GloCare Ok.👍,@706717 Thank you for choosing Glo. #GloDataUnmatched #GloEveryDayBonanza #GloUnfairAdvantage #GloJumboSIM #TeamUnlimited GA,no,non_actionable_or_context_required,high,low_information,no,Only an acknowledgement; redundant with other low-information examples.
44,381274,@GloCare thanks,@206428 You are welcome. Stay Unlimited !  TT,no,non_actionable_or_context_required,high,low_information,no,Only a thank-you message; no actionable support goal.
45,445901,@GloCare Thanks,@220601 You are welcome. ET.,no,non_actionable_or_context_required,high,low_information,no,Only a thank-you message; redundant low-information case.
46,381906,@GloCare Okay. Thank you,@206560 You are welcome. Stay Unlimited!  TT,no,non_actionable_or_context_required,high,low_information,no,Only an acknowledgement; redundant low-information case.
47,1424854,@GloCare Alright thank you,@139865 You are welcome.EE,no,non_actionable_or_context_required,high,low_information,no,Only an acknowledgement; redundant low-information case.
48,2534349,@GloCare 08154046242 Thank you,"@721120 Great, you have exhausted your data bundle.  You may send a mail to 3gsupport @117627.com for a breakdown of your data usage. FA",no,non_actionable_or_context_required,medium,ambiguous,yes,Contains a phone number and thanks but the underlying support goal is missing; insufficient context.
49,2837430,@GloCare Lollll no leave it naa,"@206558 Good evening, Yes we will debit you soon. AP",no,non_actionable_or_context_required,medium,low_information,no,Casual conversational message with no clear support goal.
50,2092975,@GloCare No improvement yet pls.,"@618457 Hello, our engineers are still  working on the issue. Kindly bear with us. Thank you. DA.",yes,network_issue,high,ambiguous,yes,"Follow-up says there is still no improvement, but the underlying issue is only inferable from the historical context."
